family,season_slice,n,predicted_margin_mass_3,observed_margin_mass_3,predicted_margin_mass_7,observed_margin_mass_7
league_mean_hfa_gaussian,all,164,0.028484861310902526,0.09146341463414634,0.027160806954554948,0.054878048780487805
league_mean_hfa_gaussian,late,94,0.0280883215394494,0.09574468085106383,0.026486629494255728,0.031914893617021274
league_mean_hfa_gaussian,middle,70,0.029017357575425295,0.08571428571428572,0.028066130972671046,0.08571428571428572
structural_gaussian_map_laplace,all,164,0.030408781710888844,0.09146341463414634,0.027711430047791117,0.054878048780487805
structural_gaussian_map_laplace,late,94,0.030615405371150074,0.09574468085106383,0.02853280870383274,0.031914893617021274
structural_gaussian_map_laplace,middle,70,0.030131315652823763,0.08571428571428572,0.02660843585253522,0.08571428571428572
structural_ridge_gaussian,all,164,0.024921313686291094,0.09146341463414634,0.02388569133182071,0.054878048780487805
structural_ridge_gaussian,late,94,0.026248985396351097,0.09574468085106383,0.025132831954354853,0.031914893617021274
structural_ridge_gaussian,middle,70,0.023138440247067654,0.08571428571428572,0.02221095963870344,0.08571428571428572
structural_student_t_map_laplace,all,164,0.03072168863367079,0.09146341463414634,0.027964614878661344,0.054878048780487805
structural_student_t_map_laplace,late,94,0.03105622037498152,0.09574468085106383,0.028848899376311393,0.031914893617021274
structural_student_t_map_laplace,middle,70,0.03027246029533923,0.08571428571428572,0.02677714712467414,0.08571428571428572
