family,target,season_slice,decile_1,decile_2,decile_3,decile_4,decile_5,decile_6,decile_7,decile_8,decile_9,decile_10
league_mean_hfa_gaussian,margin,all,25,8,23,21,9,26,9,12,12,19
league_mean_hfa_gaussian,margin,late,15,3,12,14,4,17,6,5,8,10
league_mean_hfa_gaussian,margin,middle,10,5,11,7,5,9,3,7,4,9
league_mean_hfa_gaussian,total,all,12,17,21,16,15,17,18,12,16,20
league_mean_hfa_gaussian,total,late,8,10,14,8,8,8,10,7,10,11
league_mean_hfa_gaussian,total,middle,4,7,7,8,7,9,8,5,6,9
structural_gaussian_map_laplace,margin,all,22,21,16,16,10,18,15,13,9,24
structural_gaussian_map_laplace,margin,late,15,12,10,7,3,11,9,8,6,13
structural_gaussian_map_laplace,margin,middle,7,9,6,9,7,7,6,5,3,11
structural_gaussian_map_laplace,total,all,13,17,17,19,12,22,13,14,11,26
structural_gaussian_map_laplace,total,late,8,9,14,7,5,15,7,8,6,15
structural_gaussian_map_laplace,total,middle,5,8,3,12,7,7,6,6,5,11
structural_ridge_gaussian,margin,all,14,19,21,18,14,15,23,10,12,18
structural_ridge_gaussian,margin,late,10,11,13,9,8,8,11,7,8,9
structural_ridge_gaussian,margin,middle,4,8,8,9,6,7,12,3,4,9
structural_ridge_gaussian,total,all,12,16,17,13,19,23,15,12,13,24
structural_ridge_gaussian,total,late,7,9,12,9,5,15,8,8,7,14
structural_ridge_gaussian,total,middle,5,7,5,4,14,8,7,4,6,10
structural_student_t_map_laplace,margin,all,22,22,16,16,10,16,15,15,10,22
structural_student_t_map_laplace,margin,late,15,11,12,5,6,9,8,9,7,12
structural_student_t_map_laplace,margin,middle,7,11,4,11,4,7,7,6,3,10
structural_student_t_map_laplace,total,all,14,17,16,18,11,20,15,16,10,27
structural_student_t_map_laplace,total,late,9,9,13,7,4,14,9,8,6,15
structural_student_t_map_laplace,total,middle,5,8,3,11,7,6,6,8,4,12
