forecast_as_of,target_week,defense_process_sd,defense_rho,initial_defense_sd,initial_intercept_sd,initial_offense_sd,observation_sd,offense_process_sd,offense_rho,offseason_defense_rho,offseason_defense_sd,offseason_intercept_rho,offseason_intercept_sd,offseason_offense_rho,offseason_offense_sd,student_t_df,selected_objective,objective_gap_vs_other_candidate
2025-10-07T16:00:00+00:00,6,0.025,0.96,0.2,0.1,0.2,1.6,0.025,0.96,0.7,0.08,0.0,0.1,0.7,0.08,5.0,-13634.901502920744,819.0743937422085
2025-10-14T16:00:00+00:00,7,0.025,0.96,0.2,0.1,0.2,1.6,0.025,0.96,0.7,0.08,0.0,0.1,0.7,0.08,5.0,-16658.142978588003,1000.1872769672809
2025-10-21T16:00:00+00:00,8,0.025,0.96,0.2,0.1,0.2,1.6,0.025,0.96,0.7,0.08,0.0,0.1,0.7,0.08,5.0,-19746.00924398239,1197.025017730335
2025-10-28T16:00:00+00:00,9,0.025,0.96,0.2,0.1,0.2,1.6,0.025,0.96,0.7,0.08,0.0,0.1,0.7,0.08,5.0,-23064.04340427257,1382.5865523949979
2025-11-04T16:00:00+00:00,10,0.025,0.96,0.2,0.1,0.2,1.6,0.025,0.96,0.7,0.08,0.0,0.1,0.7,0.08,5.0,-25806.766512581016,1541.3938413032447
2025-11-11T16:00:00+00:00,11,0.025,0.96,0.2,0.1,0.2,1.6,0.025,0.96,0.7,0.08,0.0,0.1,0.7,0.08,5.0,-28825.51066025871,1722.1953268564903
2025-11-18T16:00:00+00:00,12,0.025,0.96,0.2,0.1,0.2,1.6,0.025,0.96,0.7,0.08,0.0,0.1,0.7,0.08,5.0,-31886.657160415478,1904.1521339863793
2025-11-25T16:00:00+00:00,13,0.025,0.96,0.2,0.1,0.2,1.6,0.025,0.96,0.7,0.08,0.0,0.1,0.7,0.08,5.0,-35107.11892656673,2105.4463309706844
2025-12-02T16:00:00+00:00,14,0.025,0.96,0.2,0.1,0.2,1.6,0.025,0.96,0.7,0.08,0.0,0.1,0.7,0.08,5.0,-38198.90817865441,2290.8688546023986
2025-12-09T16:00:00+00:00,15,0.025,0.96,0.2,0.1,0.2,1.6,0.025,0.96,0.7,0.08,0.0,0.1,0.7,0.08,5.0,-41644.001229413596,2500.1659619774728
2025-12-16T16:00:00+00:00,16,0.025,0.96,0.2,0.1,0.2,1.6,0.025,0.96,0.7,0.08,0.0,0.1,0.7,0.08,5.0,-41644.001229413596,2500.1659619774728
2025-12-23T16:00:00+00:00,17,0.025,0.96,0.2,0.1,0.2,1.6,0.025,0.96,0.7,0.08,0.0,0.1,0.7,0.08,5.0,-41644.001229413596,2500.1659619774728
2025-12-30T16:00:00+00:00,18,0.025,0.96,0.2,0.1,0.2,1.6,0.025,0.96,0.7,0.08,0.0,0.1,0.7,0.08,5.0,-51535.59351429965,3096.06666313795
2026-02-03T16:00:00+00:00,22,0.025,0.96,0.2,0.1,0.2,1.6,0.025,0.96,0.7,0.08,0.0,0.1,0.7,0.08,5.0,-61004.62993590709,3677.1851123481465
