"Player Details","","","","","","Snap Share","","","","","","","","","","","","","","","","","",""
"Rank","Name","Team","POS","G","Season","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18","Snap %"
"1","Garrett Wilson","NYJ","WR","17","2024","95.9","96.4","87.1","95.7","95.8","98.3","100.0","98.2","98.2","96.4","100.0","","96.8","98.4","98.1","100.0","82.5","98.4","96.1"
"2","D.J. Moore","CHI","WR","17","2024","88.7","98.5","95.2","90.7","87.0","83.6","","95.0","98.6","96.6","95.6","98.6","98.3","90.4","87.3","96.6","94.8","98.2","93.9"
"3","Justin Jefferson","MIN","WR","17","2024","82.4","70.4","90.0","87.5","97.0","","96.2","100.0","98.6","93.9","98.5","100.0","96.1","96.4","87.3","96.8","94.3","98.4","93.4"
"4","Ja'Marr Chase","CIN","WR","17","2024","83.3","91.8","98.3","82.3","89.2","92.3","86.8","94.8","88.7","93.3","98.7","","98.2","92.3","96.9","92.9","97.6","98.6","93.1"
"5","Darnell Mooney","ATL","WR","16","2024","94.0","100.0","91.1","96.1","98.8","95.6","87.3","93.3","100.0","98.6","57.1","","94.8","94.3","91.2","89.2","96.7","","92.7"
"6","Cade Otton","TB","TE","14","2024","85.2","100.0","89.3","95.9","100.0","80.6","97.4","94.4","96.2","94.8","","80.6","93.5","96.6","91.0","","","","92.3"
"7","Davante Adams","LV, NYJ","WR","14","2024","96.6","93.3","94.9","","","","96.4","93.0","80.0","96.4","94.2","","96.8","84.1","94.3","96.8","75.4","91.9","91.7"
"8","Jakobi Meyers","LV","WR","15","2024","88.1","93.3","91.5","96.4","98.5","","","80.4","96.6","","88.7","98.6","92.1","92.2","89.2","91.0","82.4","93.8","91.5"
"9","Malik Nabers","NYG","WR","15","2024","100.0","88.2","85.5","89.2","","","94.5","98.5","96.6","87.7","","94.6","94.9","94.6","95.0","89.1","83.0","71.7","91.2"
"10","Drake London","ATL","WR","17","2024","100.0","96.6","100.0","100.0","85.2","95.6","88.7","100.0","21.4","100.0","75.0","","100.0","100.0","98.2","73.8","96.7","98.7","90.4"
"11","Trey McBride","ARZ","TE","16","2024","83.3","83.9","84.9","","87.7","94.5","94.5","96.8","89.5","70.2","","96.4","93.5","98.4","90.6","92.2","93.2","88.5","90.1"
"12","Jerry Jeudy","CLV","WR","17","2024","81.4","80.0","90.5","86.0","76.3","90.6","96.1","95.5","97.4","","87.1","81.8","89.3","92.8","95.0","88.9","97.4","94.5","89.7"
"13","Michael Pittman","IND","WR","16","2024","90.7","84.9","83.3","87.5","88.4","80.3","88.5","93.7","77.6","","88.1","73.5","91.4","","97.2","98.4","93.2","90.9","88.5"
"14","DeVonta Smith","PHI","WR","13","2024","100.0","100.0","77.6","","","100.0","80.0","93.2","95.9","70.8","87.1","","","91.1","89.6","83.1","78.7","","88.4"
"15","Amon-Ra St. Brown","DET","WR","17","2024","98.4","92.7","95.6","88.0","","62.1","94.5","87.2","92.7","98.4","80.3","94.4","95.7","84.2","90.9","84.6","78.3","84.8","88.3"
"16","Tre Tucker","LV","WR","17","2024","78.0","60.0","79.7","85.5","84.6","93.3","94.7","91.1","93.2","","88.7","89.0","96.8","90.6","95.4","91.0","90.5","79.2","87.5"
"17","Chris Godwin","TB","WR","7","2024","77.0","80.9","91.1","86.5","98.0","93.1","84.6","","","","","","","","","","","","87.2"
"18","Cole Kmet","CHI","TE","17","2024","43.4","75.8","82.1","92.6","84.1","86.9","","76.7","84.3","91.5","97.1","98.6","98.3","92.3","92.1","89.8","93.1","98.2","87.0"
"19","Keenan Allen","CHI","WR","15","2024","67.9","","","64.8","81.2","78.7","","96.7","92.9","93.2","91.2","89.0","94.9","88.5","82.5","93.2","94.8","87.7","86.8"
"20","A.J. Brown","PHI","WR","13","2024","95.9","","","","","91.9","76.9","81.4","49.3","72.3","97.1","89.7","96.3","96.4","90.9","100.0","90.2","","86.5"
"21","Kyren Williams","LA","RB","16","2024","90.5","78.8","88.9","79.3","85.5","","90.4","89.4","98.5","94.1","80.4","88.1","67.3","81.9","86.2","84.0","94.4","","86.4"
"22","Jaxon Smith-Njigba","SEA","WR","17","2024","78.3","83.3","86.7","83.3","87.9","93.2","83.9","78.7","89.2","","83.1","65.6","77.2","96.7","94.6","91.5","96.1","94.3","86.1"
"23","Brock Bowers","LV","TE","17","2024","69.5","70.0","66.1","80.0","80.0","80.0","84.0","92.9","89.8","","95.2","95.9","90.5","85.9","93.8","95.5","91.9","93.8","85.8"
