"Team Details","","","","","","","Man/Zone","","","","Middle of Field Look (Closed/Open)","","","","Coverages","","","","","",""
"Rank","Name","G","Season","Location","Team Name","DB","MAN %","FP/DB","ZONE %","FP/DB","1-HI/MOF C %","FP/DB","2-HI/MOF O %","FP/DB","COVER 0 %","COVER 1 %","COVER 2 %","COVER 2 MAN %","COVER 3 %","COVER 4 %","COVER 6 %"
"1","Cincinnati Bengals","1","2022","Cincinnati","Bengals","47","19.1","0.11","76.6","0.28","29.8","0.23","70.2","0.24","4.3","12.8","27.7","0.0","17.0","17.0","14.9"
"2","Kansas City Chiefs","1","2022","Kansas City","Chiefs","43","23.3","0.69","74.4","0.22","32.6","0.28","67.4","0.35","4.7","14.0","11.6","4.7","18.6","32.6","11.6"
"3","San Francisco 49ers","1","2022","San Francisco","49ers","40","7.5","0.54","80.0","0.17","47.5","0.29","52.5","0.30","0.0","7.5","22.5","0.0","35.0","15.0","7.5"
"4","Jacksonville Jaguars","1","2022","Jacksonville","Jaguars","39","33.3","0.79","64.1","0.28","69.2","0.25","30.8","1.24","7.7","25.6","5.1","0.0","43.6","10.3","5.1"
"5","Buffalo Bills","1","2022","Buffalo","Bills","39","25.6","0.08","66.7","0.68","25.6","0.72","74.4","0.46","5.1","12.8","12.8","5.1","12.8","7.7","33.3"
"6","Philadelphia Eagles","1","2022","Philadelphia","Eagles","35","37.1","0.18","62.9","0.16","54.3","0.17","45.7","0.16","2.9","34.3","2.9","0.0","20.0","37.1","2.9"
"7","Dallas Cowboys","1","2022","Dallas","Cowboys","33","15.2","0.38","81.8","0.27","39.4","0.32","60.6","0.26","0.0","12.1","15.2","0.0","27.3","36.4","3.0"
"8","New York Giants","1","2022","New York","Giants","26","34.6","0.61","57.7","0.33","50.0","0.51","50.0","0.62","15.4","19.2","3.8","0.0","30.8","23.1","0.0"

"Rank","Rank, Most to Least"
"Name","Team"
"G","Games Played"
"DB","Dropbacks"
"MAN %","Dropback Man Coverage Rate"
"FP/DB","Man Fantasy Points per Dropback"
"ZONE %","Zone Coverage Rate"
"FP/DB","Zone Fantasy Points per Dropback"
"1-HI/MOF C %","Single High Safety/Middle of Field Closed Rate"
"FP/DB","Single High Safety/Middle of Field Closed Fantasy Points per Dropback"
"2-HI/MOF O %","Two High Safety/Middle of Field Open Rate"
"FP/DB","Two High Safety/Middle of Field Open Fantasy Points per Dropback"
"COVER 0 %","Cover 0 Rate"
"COVER 1 %","Cover 1 Rate"
"COVER 2 %","Cover 2 Rate"
"COVER 2 MAN %","Cover 2 Man Rate"
"COVER 3 %","Cover 3 Rate"
"COVER 4 %","Cover 4 Rate"
"COVER 6 %","Cover 6 Rate"
