"Team Details","","","","","","","Man/Zone","","","","Middle of Field Look (Closed/Open)","","","","Coverages","","","","","",""
"Rank","Name","G","Season","Location","Team Name","DB","MAN %","FP/DB","ZONE %","FP/DB","1-HI/MOF C %","FP/DB","2-HI/MOF O %","FP/DB","COVER 0 %","COVER 1 %","COVER 2 %","COVER 2 MAN %","COVER 3 %","COVER 4 %","COVER 6 %"
"1","Baltimore Ravens","1","2024","Baltimore","Ravens","60","30.0","0.10","65.0","0.60","36.7","0.47","63.3","0.62","6.7","13.3","15.0","10.0","23.3","10.0","16.7"
"2","Miami Dolphins","1","2024","Miami","Dolphins","50","20.0","0.16","74.0","0.24","44.0","0.24","56.0","0.20","2.0","16.0","34.0","2.0","28.0","6.0","6.0"
"3","Denver Broncos","1","2024","Denver","Broncos","49","49.0","0.26","40.8","0.30","57.1","0.24","42.9","0.46","0.0","44.9","6.1","0.0","12.2","18.4","4.1"
"4","Tampa Bay Buccaneers","1","2024","Tampa Bay","Buccaneers","42","23.8","0.66","71.4","0.58","78.6","0.67","21.4","0.19","2.4","19.0","4.8","2.4","59.5","7.1","0.0"
"5","Jacksonville Jaguars","1","2024","Jacksonville","Jaguars","42","23.8","0.37","71.4","0.22","9.5","-0.01","90.5","0.25","0.0","9.5","38.1","14.3","0.0","7.1","26.2"
"6","New England Patriots","1","2024","New England","Patriots","41","61.0","0.16","39.0","0.15","82.9","0.15","17.1","0.18","0.0","58.5","12.2","0.0","24.4","2.4","0.0"
"7","Indianapolis Colts","1","2024","Indianapolis","Colts","41","9.8","0.06","85.4","0.32","46.3","0.33","53.7","0.23","4.9","2.4","9.8","2.4","43.9","9.8","22.0"
"8","Carolina Panthers","1","2024","Carolina","Panthers","41","26.8","-0.09","68.3","0.26","51.2","0.16","48.8","0.16","4.9","22.0","7.3","0.0","26.8","12.2","22.0"
"9","New Orleans Saints","1","2024","New Orleans","Saints","41","24.4","0.35","65.9","0.26","48.8","0.29","51.2","0.26","0.0","22.0","26.8","2.4","24.4","12.2","2.4"
"10","Buffalo Bills","1","2024","Buffalo","Bills","39","20.5","0.06","66.7","0.37","43.6","0.30","56.4","0.44","0.0","15.4","10.3","5.1","28.2","17.9","10.3"
"11","Detroit Lions","1","2024","Detroit","Lions","38","44.7","0.29","44.7","0.40","65.8","0.29","34.2","0.36","0.0","44.7","13.2","0.0","21.1","10.5","0.0"
