"Team Details","","","","","","","Man/Zone","","","","Middle of Field Look (Closed/Open)","","","","Coverages","","","","","",""
"Rank","Name","G","Season","Location","Team Name","DB","MAN %","FP/DB","ZONE %","FP/DB","1-HI/MOF C %","FP/DB","2-HI/MOF O %","FP/DB","COVER 0 %","COVER 1 %","COVER 2 %","COVER 2 MAN %","COVER 3 %","COVER 4 %","COVER 6 %"
"1","Los Angeles Rams","1","2024","Los Angeles","Rams","50","30.0","0.37","70.0","0.23","46.0","0.34","54.0","0.21","0.0","26.0","36.0","4.0","20.0","4.0","10.0"
"2","Tampa Bay Buccaneers","1","2024","Tampa Bay","Buccaneers","40","30.0","0.28","65.0","0.50","62.5","0.47","35.0","0.63","5.0","17.5","12.5","7.5","45.0","7.5","0.0"
"3","Los Angeles Chargers","1","2024","Los Angeles","Chargers","39","15.4","1.29","79.5","0.35","43.6","0.58","56.4","0.40","2.6","12.8","28.2","0.0","30.8","10.3","10.3"
"4","Baltimore Ravens","1","2024","Baltimore","Ravens","36","27.8","0.22","72.2","0.66","58.3","0.25","41.7","0.95","0.0","25.0","27.8","2.8","33.3","2.8","8.3"
"5","Philadelphia Eagles","1","2024","Philadelphia","Eagles","36","13.9","0.37","83.3","0.16","25.0","0.06","75.0","0.22","0.0","13.9","0.0","0.0","11.1","61.1","11.1"
"6","Houston Texans","1","2024","Houston","Texans","36","30.6","0.02","69.4","0.38","44.4","0.15","55.6","0.36","0.0","30.6","11.1","0.0","13.9","27.8","16.7"
"7","Denver Broncos","1","2024","Denver","Broncos","32","40.6","1.14","53.1","0.38","65.6","0.81","34.4","0.39","9.4","25.0","6.3","6.3","37.5","6.3","3.1"
"8","Minnesota Vikings","1","2024","Minnesota","Vikings","29","55.2","0.54","41.4","0.29","34.5","0.73","65.5","0.48","31.0","20.7","20.7","3.4","13.8","3.4","3.4"
"9","Buffalo Bills","1","2024","Buffalo","Bills","28","25.0","0.15","71.4","0.64","25.0","0.30","75.0","0.59","0.0","7.1","7.1","17.9","17.9","25.0","21.4"
"10","Pittsburgh Steelers","1","2024","Pittsburgh","Steelers","26","65.4","0.85","26.9","0.37","76.9","0.61","23.1","0.89","7.7","53.8","3.8","0.0","19.2","0.0","3.8"
"11","Green Bay Packers","1","2024","Green Bay","Packers","24","25.0","1.08","70.8","0.18","33.3","0.39","66.7","0.69","12.5","12.5","8.3","0.0","20.8","33.3","8.3"
"12","Washington Commanders","1","2024","Washington","Commanders","23","34.8","1.40","60.9","0.45","47.8","0.47","52.2","1.03","8.7","26.1","13.0","0.0","21.7","21.7","4.3"

"Rank","Rank, Most to Least"
"Name","Team"
"G","Games Played"
"DB","Dropbacks"
"MAN %","Dropback Man Coverage Rate"
"FP/DB","Man Fantasy Points per Dropback"
"ZONE %","Zone Coverage Rate"
"FP/DB","Zone Fantasy Points per Dropback"
"1-HI/MOF C %","Single High Safety/Middle of Field Closed Rate"
"FP/DB","Single High Safety/Middle of Field Closed Fantasy Points per Dropback"
"2-HI/MOF O %","Two High Safety/Middle of Field Open Rate"
"FP/DB","Two High Safety/Middle of Field Open Fantasy Points per Dropback"
"COVER 0 %","Cover 0 Rate"
"COVER 1 %","Cover 1 Rate"
"COVER 2 %","Cover 2 Rate"
"COVER 2 MAN %","Cover 2 Man Rate"
"COVER 3 %","Cover 3 Rate"
"COVER 4 %","Cover 4 Rate"
"COVER 6 %","Cover 6 Rate"
