"Team Details","","","","","","","Man/Zone","","","","Middle of Field Look (Closed/Open)","","","","Coverages","","","","","",""
"Rank","Name","G","Season","Location","Team Name","DB","MAN %","FP/DB","ZONE %","FP/DB","1-HI/MOF C %","FP/DB","2-HI/MOF O %","FP/DB","COVER 0 %","COVER 1 %","COVER 2 %","COVER 2 MAN %","COVER 3 %","COVER 4 %","COVER 6 %"
"1","Philadelphia Eagles","1","2024","Philadelphia","Eagles","50","40.0","0.33","56.0","0.33","70.0","0.25","30.0","0.79","4.0","34.0","0.0","0.0","36.0","10.0","10.0"
"2","Washington Commanders","1","2024","Washington","Commanders","46","8.7","0.23","82.6","0.21","28.3","0.59","71.7","0.16","4.3","4.3","43.5","0.0","23.9","10.9","4.3"
"3","Kansas City Chiefs","1","2024","Kansas City","Chiefs","41","43.9","0.25","53.7","0.44","29.3","0.29","70.7","0.37","4.9","24.4","9.8","7.3","4.9","34.1","4.9"
"4","Detroit Lions","1","2024","Detroit","Lions","37","59.5","0.51","37.8","0.88","54.1","0.49","45.9","0.83","21.6","37.8","13.5","0.0","16.2","5.4","2.7"
"5","Buffalo Bills","1","2024","Buffalo","Bills","31","41.9","0.07","51.6","1.23","48.4","0.35","51.6","0.96","12.9","25.8","3.2","3.2","22.6","12.9","12.9"
"6","Houston Texans","1","2024","Houston","Texans","31","16.1","0.38","77.4","0.28","51.6","0.34","48.4","0.51","6.5","9.7","19.4","0.0","41.9","6.5","9.7"
"7","Los Angeles Rams","1","2024","Los Angeles","Rams","30","20.0","0.49","80.0","0.18","53.3","0.28","46.7","0.20","0.0","16.7","13.3","3.3","36.7","20.0","10.0"
"8","Baltimore Ravens","1","2024","Baltimore","Ravens","23","43.5","0.13","56.5","0.29","56.5","0.14","43.5","0.32","17.4","26.1","17.4","0.0","30.4","0.0","8.7"

"Rank","Rank, Most to Least"
"Name","Team"
"G","Games Played"
"DB","Dropbacks"
"MAN %","Dropback Man Coverage Rate"
"FP/DB","Man Fantasy Points per Dropback"
"ZONE %","Zone Coverage Rate"
"FP/DB","Zone Fantasy Points per Dropback"
"1-HI/MOF C %","Single High Safety/Middle of Field Closed Rate"
"FP/DB","Single High Safety/Middle of Field Closed Fantasy Points per Dropback"
"2-HI/MOF O %","Two High Safety/Middle of Field Open Rate"
"FP/DB","Two High Safety/Middle of Field Open Fantasy Points per Dropback"
"COVER 0 %","Cover 0 Rate"
"COVER 1 %","Cover 1 Rate"
"COVER 2 %","Cover 2 Rate"
"COVER 2 MAN %","Cover 2 Man Rate"
"COVER 3 %","Cover 3 Rate"
"COVER 4 %","Cover 4 Rate"
"COVER 6 %","Cover 6 Rate"
