"Team Details","","","","","","","Man/Zone","","","","Middle of Field Look (Closed/Open)","","","","Coverages","","","","","",""
"Rank","Name","G","Season","Location","Team Name","DB","MAN %","FP/DB","ZONE %","FP/DB","1-HI/MOF C %","FP/DB","2-HI/MOF O %","FP/DB","COVER 0 %","COVER 1 %","COVER 2 %","COVER 2 MAN %","COVER 3 %","COVER 4 %","COVER 6 %"
"1","Philadelphia Eagles","1","2024","Philadelphia","Eagles","56","25.0","0.63","71.4","0.17","53.6","0.37","46.4","0.24","0.0","25.0","1.8","0.0","26.8","17.9","25.0"
"2","Kansas City Chiefs","1","2024","Kansas City","Chiefs","37","29.7","0.70","62.2","0.29","37.8","0.23","62.2","0.68","8.1","18.9","24.3","0.0","16.2","18.9","2.7"
"3","Buffalo Bills","1","2024","Buffalo","Bills","34","41.2","0.77","50.0","0.41","55.9","0.71","44.1","0.70","0.0","41.2","17.6","0.0","14.7","8.8","8.8"
"4","Washington Commanders","1","2024","Washington","Commanders","31","25.8","0.90","71.0","0.31","58.1","0.57","41.9","0.30","3.2","22.6","22.6","0.0","35.5","6.5","6.5"

"Rank","Rank, Most to Least"
"Name","Team"
"G","Games Played"
"DB","Dropbacks"
"MAN %","Dropback Man Coverage Rate"
"FP/DB","Man Fantasy Points per Dropback"
"ZONE %","Zone Coverage Rate"
"FP/DB","Zone Fantasy Points per Dropback"
"1-HI/MOF C %","Single High Safety/Middle of Field Closed Rate"
"FP/DB","Single High Safety/Middle of Field Closed Fantasy Points per Dropback"
"2-HI/MOF O %","Two High Safety/Middle of Field Open Rate"
"FP/DB","Two High Safety/Middle of Field Open Fantasy Points per Dropback"
"COVER 0 %","Cover 0 Rate"
"COVER 1 %","Cover 1 Rate"
"COVER 2 %","Cover 2 Rate"
"COVER 2 MAN %","Cover 2 Man Rate"
"COVER 3 %","Cover 3 Rate"
"COVER 4 %","Cover 4 Rate"
"COVER 6 %","Cover 6 Rate"
