"Team Details","","","","","","","Man/Zone","","","","Middle of Field Look (Closed/Open)","","","","Coverages","","","","","",""
"Rank","Name","G","Season","Location","Team Name","DB","MAN %","FP/DB","ZONE %","FP/DB","1-HI/MOF C %","FP/DB","2-HI/MOF O %","FP/DB","COVER 0 %","COVER 1 %","COVER 2 %","COVER 2 MAN %","COVER 3 %","COVER 4 %","COVER 6 %"
"1","Tampa Bay Buccaneers","1","2022","Tampa Bay","Buccaneers","68","7.4","0.04","82.4","0.37","14.7","0.16","85.3","0.34","1.5","1.5","39.7","4.4","7.4","20.6","14.7"
"2","Miami Dolphins","1","2022","Miami","Dolphins","51","25.5","0.15","70.6","0.13","43.1","0.16","56.9","0.26","0.0","25.5","27.5","0.0","17.6","13.7","11.8"
"3","Jacksonville Jaguars","1","2022","Jacksonville","Jaguars","50","22.0","0.05","70.0","0.31","56.0","0.11","44.0","0.97","0.0","22.0","14.0","0.0","32.0","10.0","14.0"
"4","Buffalo Bills","1","2022","Buffalo","Bills","48","54.2","0.60","43.8","0.40","43.8","0.14","56.3","0.79","18.8","27.1","4.2","0.0","16.7","16.7","6.3"
"5","Los Angeles Chargers","1","2022","Los Angeles","Chargers","47","25.5","0.37","68.1","0.23","57.4","0.34","42.6","0.35","2.1","23.4","10.6","0.0","34.0","14.9","8.5"
"6","New York Giants","1","2022","New York","Giants","44","25.0","0.65","65.9","0.48","38.6","0.60","61.4","0.58","2.3","22.7","9.1","0.0","15.9","18.2","22.7"
"7","Seattle Seahawks","1","2022","Seattle","Seahawks","41","14.6","1.79","78.0","0.26","53.7","0.59","46.3","0.32","0.0","14.6","19.5","0.0","39.0","14.6","4.9"
"8","Minnesota Vikings","1","2022","Minnesota","Vikings","40","22.5","0.28","70.0","0.28","30.0","0.29","70.0","0.55","2.5","12.5","5.0","2.5","17.5","45.0","2.5"
"9","Cincinnati Bengals","1","2022","Cincinnati","Bengals","39","10.3","0.10","87.2","0.25","48.7","0.21","51.3","0.46","0.0","10.3","25.6","0.0","38.5","5.1","17.9"
"10","Dallas Cowboys","1","2022","Dallas","Cowboys","37","29.7","0.82","67.6","0.67","51.4","0.76","48.6","0.87","10.8","13.5","10.8","5.4","37.8","16.2","2.7"
"11","Baltimore Ravens","1","2022","Baltimore","Ravens","33","12.1","0.49","78.8","0.41","51.5","0.56","48.5","0.45","0.0","12.1","6.1","0.0","39.4","24.2","9.1"
"12","San Francisco 49ers","1","2022","San Francisco","49ers","32","40.6","0.38","53.1","0.78","81.3","0.64","18.8","1.67","0.0","40.6","3.1","0.0","40.6","6.3","3.1"

"Rank","Rank, Most to Least"
"Name","Team"
"G","Games Played"
"DB","Team Dropbacks"
"MAN %","Dropback Man Coverage Rate"
"FP/DB","Man Fantasy Points per Dropback"
"ZONE %","Zone Coverage Rate"
"FP/DB","Zone Fantasy Points per Dropback"
"1-HI/MOF C %","Single High Safety/Middle of Field Closed Rate"
"FP/DB","Single High Safety/Middle of Field Closed Fantasy Points per Dropback"
"2-HI/MOF O %","Two High Safety/Middle of Field Open Rate"
"FP/DB","Two High Safety/Middle of Field Open Fantasy Points per Dropback"
"COVER 0 %","Cover 0 Rate"
"COVER 1 %","Cover 1 Rate"
"COVER 2 %","Cover 2 Rate"
"COVER 2 MAN %","Cover 2 Man Rate"
"COVER 3 %","Cover 3 Rate"
"COVER 4 %","Cover 4 Rate"
"COVER 6 %","Cover 6 Rate"
