"Team Details","","","","","","","Man/Zone","","","","Middle of Field Look (Closed/Open)","","","","Coverages","","","","","",""
"Rank","Name","G","Season","Location","Team Name","DB","MAN %","FP/DB","ZONE %","FP/DB","1-HI/MOF C %","FP/DB","2-HI/MOF O %","FP/DB","COVER 0 %","COVER 1 %","COVER 2 %","COVER 2 MAN %","COVER 3 %","COVER 4 %","COVER 6 %"
"1","Cincinnati Bengals","1","2022","Cincinnati","Bengals","49","34.7","0.53","63.3","0.18","16.3","0.16","83.7","0.33","0.0","6.1","32.7","18.4","10.2","12.2","8.2"
"2","Kansas City Chiefs","1","2022","Kansas City","Chiefs","49","34.7","0.74","61.2","0.26","65.3","0.42","34.7","0.44","4.1","30.6","18.4","0.0","32.7","8.2","2.0"
"3","Philadelphia Eagles","1","2022","Philadelphia","Eagles","27","25.9","0.29","74.1","0.18","63.0","0.21","37.0","0.20","3.7","22.2","11.1","0.0","40.7","18.5","3.7"
"4","San Francisco 49ers","1","2022","San Francisco","49ers","21","28.6","0.13","71.4","0.14","76.2","0.07","23.8","0.36","0.0","28.6","0.0","0.0","47.6","23.8","0.0"

"Rank","Rank, Most to Least"
"Name","Team"
"G","Games Played"
"DB","Team Dropbacks"
"MAN %","Dropback Man Coverage Rate"
"FP/DB","Man Fantasy Points per Dropback"
"ZONE %","Zone Coverage Rate"
"FP/DB","Zone Fantasy Points per Dropback"
"1-HI/MOF C %","Single High Safety/Middle of Field Closed Rate"
"FP/DB","Single High Safety/Middle of Field Closed Fantasy Points per Dropback"
"2-HI/MOF O %","Two High Safety/Middle of Field Open Rate"
"FP/DB","Two High Safety/Middle of Field Open Fantasy Points per Dropback"
"COVER 0 %","Cover 0 Rate"
"COVER 1 %","Cover 1 Rate"
"COVER 2 %","Cover 2 Rate"
"COVER 2 MAN %","Cover 2 Man Rate"
"COVER 3 %","Cover 3 Rate"
"COVER 4 %","Cover 4 Rate"
"COVER 6 %","Cover 6 Rate"
