"Team Details","","","","","","","Man/Zone","","","","Middle of Field Look (Closed/Open)","","","","Coverages","","","","","",""
"Rank","Name","G","Season","Location","Team Name","DB","MAN %","FP/DB","ZONE %","FP/DB","1-HI/MOF C %","FP/DB","2-HI/MOF O %","FP/DB","COVER 0 %","COVER 1 %","COVER 2 %","COVER 2 MAN %","COVER 3 %","COVER 4 %","COVER 6 %"
"1","Dallas Cowboys","1","2023","Dallas","Cowboys","70","22.9","0.61","70.0","0.41","25.7","0.08","74.3","0.56","1.4","10.0","10.0","4.3","14.3","28.6","17.1"
"2","Cleveland Browns","1","2023","Cleveland","Browns","52","3.8","0.04","94.2","0.22","46.2","0.28","53.8","0.30","1.9","1.9","13.5","0.0","44.2","25.0","11.5"
"3","Miami Dolphins","1","2023","Miami","Dolphins","44","25.0","0.00","72.7","0.42","6.8","-0.04","93.2","0.33","4.5","4.5","50.0","13.6","2.3","11.4","9.1"
"4","Kansas City Chiefs","1","2023","Kansas City","Chiefs","43","60.5","0.25","37.2","0.48","37.2","0.31","62.8","0.50","44.2","16.3","0.0","0.0","20.9","14.0","2.3"
"5","Pittsburgh Steelers","1","2023","Pittsburgh","Steelers","42","21.4","-0.09","71.4","0.33","28.6","0.31","71.4","0.47","0.0","7.1","28.6","11.9","21.4","14.3","7.1"
"6","Tampa Bay Buccaneers","1","2023","Tampa Bay","Buccaneers","42","38.1","1.26","59.5","0.27","52.4","0.76","47.6","0.52","2.4","33.3","9.5","0.0","19.0","28.6","2.4"
"7","Philadelphia Eagles","1","2023","Philadelphia","Eagles","39","28.2","0.05","69.2","0.36","56.4","0.28","43.6","0.49","15.4","7.7","12.8","5.1","48.7","7.7","0.0"
"8","Los Angeles Rams","1","2023","Los Angeles","Rams","38","28.9","0.29","65.8","0.78","63.2","0.77","36.8","0.30","0.0","28.9","13.2","0.0","34.2","13.2","5.3"
"9","Buffalo Bills","1","2023","Buffalo","Bills","34","41.2","1.01","55.9","0.71","70.6","0.69","29.4","1.56","0.0","41.2","14.7","0.0","29.4","8.8","2.9"
"10","Detroit Lions","1","2023","Detroit","Lions","30","20.0","1.06","80.0","0.36","43.3","0.30","56.7","0.66","3.3","13.3","13.3","3.3","30.0","16.7","20.0"
"11","Houston Texans","1","2023","Houston","Texans","22","54.5","0.95","45.5","1.18","77.3","1.02","22.7","1.17","0.0","54.5","9.1","0.0","22.7","0.0","13.6"
"12","Green Bay Packers","1","2023","Green Bay","Packers","21","33.3","0.92","66.7","1.17","71.4","1.02","28.6","1.25","4.8","28.6","9.5","0.0","42.9","14.3","0.0"

"Rank","Rank, Most to Least"
"Name","Team"
"G","Games Played"
"DB","Team Dropbacks"
"MAN %","Dropback Man Coverage Rate"
"FP/DB","Man Fantasy Points per Dropback"
"ZONE %","Zone Coverage Rate"
"FP/DB","Zone Fantasy Points per Dropback"
"1-HI/MOF C %","Single High Safety/Middle of Field Closed Rate"
"FP/DB","Single High Safety/Middle of Field Closed Fantasy Points per Dropback"
"2-HI/MOF O %","Two High Safety/Middle of Field Open Rate"
"FP/DB","Two High Safety/Middle of Field Open Fantasy Points per Dropback"
"COVER 0 %","Cover 0 Rate"
"COVER 1 %","Cover 1 Rate"
"COVER 2 %","Cover 2 Rate"
"COVER 2 MAN %","Cover 2 Man Rate"
"COVER 3 %","Cover 3 Rate"
"COVER 4 %","Cover 4 Rate"
"COVER 6 %","Cover 6 Rate"
