"Team Details","","","","","","","Man/Zone","","","","Middle of Field Look (Closed/Open)","","","","Coverages","","","","","",""
"Rank","Name","G","Season","Location","Team Name","DB","MAN %","FP/DB","ZONE %","FP/DB","1-HI/MOF C %","FP/DB","2-HI/MOF O %","FP/DB","COVER 0 %","COVER 1 %","COVER 2 %","COVER 2 MAN %","COVER 3 %","COVER 4 %","COVER 6 %"
"1","Tampa Bay Buccaneers","1","2023","Tampa Bay","Buccaneers","47","27.7","1.06","70.2","0.35","40.4","0.40","59.6","0.64","8.5","19.1","12.8","0.0","21.3","21.3","14.9"
"2","Detroit Lions","1","2023","Detroit","Lions","46","37.0","0.45","58.7","0.30","56.5","0.36","43.5","0.55","8.7","26.1","19.6","2.2","30.4","4.3","4.3"
"3","Buffalo Bills","1","2023","Buffalo","Bills","46","21.7","0.55","65.2","0.37","28.3","0.74","71.7","0.42","8.7","4.3","23.9","4.3","17.4","15.2","8.7"
"4","San Francisco 49ers","1","2023","San Francisco","49ers","42","11.9","1.39","85.7","0.23","35.7","0.31","64.3","0.38","2.4","9.5","14.3","0.0","26.2","33.3","11.9"
"5","Green Bay Packers","1","2023","Green Bay","Packers","35","17.1","0.86","77.1","0.33","34.3","0.20","65.7","0.51","5.7","11.4","17.1","0.0","22.9","31.4","5.7"
"6","Houston Texans","1","2023","Houston","Texans","35","22.9","0.15","77.1","0.25","57.1","0.25","42.9","0.20","8.6","14.3","8.6","0.0","42.9","14.3","11.4"
"7","Baltimore Ravens","1","2023","Baltimore","Ravens","30","50.0","0.78","50.0","0.98","53.3","0.24","46.7","1.61","30.0","20.0","0.0","0.0","33.3","13.3","3.3"
"8","Kansas City Chiefs","1","2023","Kansas City","Chiefs","25","20.0","0.56","72.0","0.90","40.0","1.25","60.0","0.44","0.0","20.0","24.0","0.0","20.0","12.0","16.0"

"Rank","Rank, Most to Least"
"Name","Team"
"G","Games Played"
"DB","Team Dropbacks"
"MAN %","Dropback Man Coverage Rate"
"FP/DB","Man Fantasy Points per Dropback"
"ZONE %","Zone Coverage Rate"
"FP/DB","Zone Fantasy Points per Dropback"
"1-HI/MOF C %","Single High Safety/Middle of Field Closed Rate"
"FP/DB","Single High Safety/Middle of Field Closed Fantasy Points per Dropback"
"2-HI/MOF O %","Two High Safety/Middle of Field Open Rate"
"FP/DB","Two High Safety/Middle of Field Open Fantasy Points per Dropback"
"COVER 0 %","Cover 0 Rate"
"COVER 1 %","Cover 1 Rate"
"COVER 2 %","Cover 2 Rate"
"COVER 2 MAN %","Cover 2 Man Rate"
"COVER 3 %","Cover 3 Rate"
"COVER 4 %","Cover 4 Rate"
"COVER 6 %","Cover 6 Rate"
