"Team Details","","","","","","","Man/Zone","","","","Middle of Field Look (Closed/Open)","","","","Coverages","","","","","",""
"Rank","Name","G","Season","Location","Team Name","DB","MAN %","FP/DB","ZONE %","FP/DB","1-HI/MOF C %","FP/DB","2-HI/MOF O %","FP/DB","COVER 0 %","COVER 1 %","COVER 2 %","COVER 2 MAN %","COVER 3 %","COVER 4 %","COVER 6 %"
"1","Baltimore Ravens","1","2023","Baltimore","Ravens","46","34.8","0.20","63.0","0.43","32.6","0.27","67.4","0.38","13.0","17.4","28.3","4.3","15.2","15.2","4.3"
"2","Kansas City Chiefs","1","2023","Kansas City","Chiefs","44","29.5","0.62","70.5","0.24","59.1","0.44","40.9","0.22","2.3","27.3","9.1","0.0","31.8","11.4","18.2"
"3","Detroit Lions","1","2023","Detroit","Lions","43","11.6","0.24","79.1","0.28","44.2","0.29","55.8","0.40","2.3","9.3","23.3","0.0","34.9","14.0","7.0"
"4","San Francisco 49ers","1","2023","San Francisco","49ers","36","27.8","0.92","72.2","0.37","55.6","0.58","44.4","0.46","2.8","22.2","16.7","0.0","33.3","13.9","8.3"

"Rank","Rank, Most to Least"
"Name","Team"
"G","Games Played"
"DB","Team Dropbacks"
"MAN %","Dropback Man Coverage Rate"
"FP/DB","Man Fantasy Points per Dropback"
"ZONE %","Zone Coverage Rate"
"FP/DB","Zone Fantasy Points per Dropback"
"1-HI/MOF C %","Single High Safety/Middle of Field Closed Rate"
"FP/DB","Single High Safety/Middle of Field Closed Fantasy Points per Dropback"
"2-HI/MOF O %","Two High Safety/Middle of Field Open Rate"
"FP/DB","Two High Safety/Middle of Field Open Fantasy Points per Dropback"
"COVER 0 %","Cover 0 Rate"
"COVER 1 %","Cover 1 Rate"
"COVER 2 %","Cover 2 Rate"
"COVER 2 MAN %","Cover 2 Man Rate"
"COVER 3 %","Cover 3 Rate"
"COVER 4 %","Cover 4 Rate"
"COVER 6 %","Cover 6 Rate"
