"Team Details","","","","","","","Man/Zone","","","","Middle of Field Look (Closed/Open)","","","","Coverages","","","","","",""
"Rank","Name","G","Season","Location","Team Name","DB","MAN %","FP/DB","ZONE %","FP/DB","1-HI/MOF C %","FP/DB","2-HI/MOF O %","FP/DB","COVER 0 %","COVER 1 %","COVER 2 %","COVER 2 MAN %","COVER 3 %","COVER 4 %","COVER 6 %"
"1","Dallas Cowboys","1","2024","Dallas","Cowboys","62","8.1","1.41","88.7","0.19","17.7","0.66","82.3","0.20","1.6","6.5","21.0","0.0","11.3","37.1","19.4"
"2","Cincinnati Bengals","1","2024","Cincinnati","Bengals","55","32.7","1.00","60.0","0.33","40.0","0.50","60.0","0.55","5.5","14.5","14.5","5.5","21.8","18.2","5.5"
"3","Cleveland Browns","1","2024","Cleveland","Browns","51","17.6","0.31","76.5","0.56","33.3","0.72","66.7","0.36","0.0","13.7","29.4","3.9","19.6","17.6","9.8"
"4","Las Vegas Raiders","1","2024","Las Vegas","Raiders","48","10.4","1.18","77.1","0.23","29.2","0.33","70.8","0.42","2.1","6.3","29.2","2.1","22.9","10.4","14.6"
"5","Buffalo Bills","1","2024","Buffalo","Bills","45","35.6","0.60","64.4","0.50","48.9","0.57","51.1","0.50","6.7","28.9","15.6","0.0","20.0","24.4","4.4"
"6","New England Patriots","1","2024","New England","Patriots","45","44.4","0.35","53.3","0.52","62.2","0.40","37.8","0.52","6.7","37.8","4.4","0.0","24.4","13.3","11.1"
"7","Los Angeles Chargers","1","2024","Los Angeles","Chargers","42","26.2","0.45","66.7","0.73","50.0","0.94","50.0","0.28","0.0","23.8","7.1","0.0","26.2","19.0","14.3"
"8","Pittsburgh Steelers","1","2024","Pittsburgh","Steelers","41","26.8","0.27","68.3","0.20","51.2","0.24","48.8","0.13","0.0","26.8","29.3","0.0","24.4","9.8","4.9"
"9","Washington Commanders","1","2024","Washington","Commanders","39","15.4","0.76","84.6","0.23","51.3","0.32","48.7","0.30","2.6","10.3","0.0","0.0","41.0","35.9","7.7"
"10","Chicago Bears","1","2024","Chicago","Bears","39","30.8","0.62","66.7","0.26","48.7","0.51","51.3","0.22","10.3","20.5","23.1","0.0","28.2","0.0","15.4"
"11","Miami Dolphins","1","2024","Miami","Dolphins","38","21.1","0.73","57.9","0.59","26.3","0.96","73.7","0.50","13.2","5.3","21.1","2.6","21.1","7.9","7.9"
"12","Tennessee Titans","1","2024","Tennessee","Titans","38","18.4","0.31","78.9","0.46","28.9","0.30","71.1","0.47","2.6","10.5","28.9","5.3","18.4","21.1","10.5"
"13","Houston Texans","1","2024","Houston","Texans","38","18.4","0.66","78.9","0.23","31.6","0.54","68.4","0.21","2.6","13.2","15.8","2.6","18.4","34.2","10.5"
"14","Seattle Seahawks","1","2024","Seattle","Seahawks","38","21.1","1.17","78.9","0.25","47.4","0.73","52.6","0.18","0.0","21.1","0.0","0.0","26.3","36.8","15.8"
"15","Minnesota Vikings","1","2024","Minnesota","Vikings","37","2.7","0.00","94.6","0.43","29.7","0.21","70.3","0.65","2.7","","10.8","0.0","29.7","35.1","18.9"
"16","Detroit Lions","1","2024","Detroit","Lions","37","59.5","1.08","37.8","0.83","62.2","0.88","37.8","1.12","0.0","54.1","27.0","5.4","8.1","0.0","2.7"
"17","Denver Broncos","1","2024","Denver","Broncos","35","11.4","0.40","77.1","0.68","51.4","0.63","48.6","1.01","5.7","5.7","14.3","0.0","45.7","0.0","17.1"
"18","Baltimore Ravens","1","2024","Baltimore","Ravens","35","40.0","0.45","60.0","0.24","77.1","0.42","22.9","-0.02","5.7","34.3","14.3","0.0","42.9","2.9","0.0"
"19","Atlanta Falcons","1","2024","Atlanta","Falcons","35","22.9","0.40","71.4","0.12","51.4","0.37","48.6","0.01","0.0","20.0","11.4","2.9","28.6","14.3","17.1"
"20","Kansas City Chiefs","1","2024","Kansas City","Chiefs","35","28.6","0.62","65.7","0.33","42.9","0.38","57.1","0.60","2.9","25.7","25.7","0.0","17.1","8.6","14.3"
"21","San Francisco 49ers","1","2024","San Francisco","49ers","35","45.7","0.89","51.4","0.26","42.9","0.31","57.1","0.73","22.9","22.9","5.7","0.0","20.0","22.9","2.9"
"22","Philadelphia Eagles","1","2024","Philadelphia","Eagles","34","11.8","0.53","88.2","0.29","67.6","0.35","32.4","0.25","2.9","8.8","14.7","0.0","58.8","11.8","2.9"
"23","New York Jets","1","2024","New York","Jets","33","18.2","0.13","75.8","0.43","48.5","0.43","51.5","0.54","0.0","15.2","18.2","0.0","30.3","15.2","12.1"
"24","Indianapolis Colts","1","2024","Indianapolis","Colts","32","37.5","0.61","59.4","0.34","65.6","0.50","34.4","0.30","3.1","31.3","0.0","3.1","34.4","25.0","0.0"
"25","Jacksonville Jaguars","1","2024","Jacksonville","Jaguars","31","64.5","0.10","35.5","0.27","64.5","0.09","35.5","0.30","0.0","61.3","12.9","3.2","3.2","12.9","6.5"
"26","New Orleans Saints","1","2024","New Orleans","Saints","30","26.7","0.38","66.7","0.52","63.3","0.67","36.7","0.45","3.3","20.0","26.7","3.3","40.0","0.0","0.0"
"27","Los Angeles Rams","1","2024","Los Angeles","Rams","27","59.3","1.24","29.6","0.48","48.1","0.72","51.9","1.32","14.8","37.0","18.5","3.7","11.1","0.0","0.0"
"28","Green Bay Packers","1","2024","Green Bay","Packers","20","20.0","0.68","70.0","0.86","65.0","1.04","35.0","0.24","0.0","20.0","15.0","0.0","45.0","10.0","0.0"

"Rank","Rank, Most to Least"
"Name","Team"
"G","Games Played"
"DB","Team Dropbacks"
"MAN %","Dropback Man Coverage Rate"
"FP/DB","Man Fantasy Points per Dropback"
"ZONE %","Zone Coverage Rate"
"FP/DB","Zone Fantasy Points per Dropback"
"1-HI/MOF C %","Single High Safety/Middle of Field Closed Rate"
"FP/DB","Single High Safety/Middle of Field Closed Fantasy Points per Dropback"
"2-HI/MOF O %","Two High Safety/Middle of Field Open Rate"
"FP/DB","Two High Safety/Middle of Field Open Fantasy Points per Dropback"
"COVER 0 %","Cover 0 Rate"
"COVER 1 %","Cover 1 Rate"
"COVER 2 %","Cover 2 Rate"
"COVER 2 MAN %","Cover 2 Man Rate"
"COVER 3 %","Cover 3 Rate"
"COVER 4 %","Cover 4 Rate"
"COVER 6 %","Cover 6 Rate"
