"Team Details","","","","","","","Man/Zone","","","","Middle of Field Look (Closed/Open)","","","","Coverages","","","","","",""
"Rank","Name","G","Season","Location","Team Name","DB","MAN %","FP/DB","ZONE %","FP/DB","1-HI/MOF C %","FP/DB","2-HI/MOF O %","FP/DB","COVER 0 %","COVER 1 %","COVER 2 %","COVER 2 MAN %","COVER 3 %","COVER 4 %","COVER 6 %"
"1","Tampa Bay Buccaneers","17","2022","Tampa Bay","Buccaneers","777","22.7","0.40","71.9","0.29","45.9","0.30","54.1","0.41","2.7","16.9","16.1","2.2","28.4","16.3","11.1"
"2","Los Angeles Chargers","17","2022","Los Angeles","Chargers","773","22.6","0.51","71.2","0.32","50.8","0.38","49.2","0.39","2.8","18.1","16.0","1.2","31.7","11.9","11.5"
"3","Arizona Cardinals","17","2022","Arizona","Cardinals","750","20.3","0.38","76.7","0.28","49.9","0.29","50.1","0.36","1.9","16.7","15.1","0.4","32.4","16.9","12.3"
"4","Minnesota Vikings","17","2022","Minnesota","Vikings","733","29.9","0.49","63.7","0.34","40.7","0.45","59.3","0.41","4.6","18.6","17.2","4.9","20.5","15.6","10.5"
"5","Kansas City Chiefs","17","2022","Kansas City","Chiefs","723","33.6","0.62","58.8","0.46","54.8","0.55","45.2","0.62","2.4","28.9","10.4","2.1","24.6","17.2","6.6"
"6","New York Jets","17","2022","New York","Jets","688","30.2","0.29","65.0","0.29","59.2","0.29","40.8","0.37","1.9","26.2","12.4","1.7","32.1","10.8","9.7"
"7","Indianapolis Colts","17","2022","Indianapolis","Colts","686","28.4","0.43","67.5","0.24","56.0","0.37","44.0","0.23","1.0","24.2","13.7","2.8","30.9","13.6","9.3"
"8","Cincinnati Bengals","16","2022","Cincinnati","Bengals","681","26.3","0.59","69.5","0.39","41.3","0.43","58.7","0.53","3.4","18.8","23.2","1.8","22.2","14.5","9.5"
"9","Denver Broncos","17","2022","Denver","Broncos","663","20.4","0.47","76.2","0.30","51.1","0.38","48.9","0.35","1.5","16.9","13.7","1.8","33.0","17.6","11.8"
"10","Buffalo Bills","16","2022","Buffalo","Bills","658","32.4","0.65","64.4","0.43","55.5","0.47","44.5","0.64","5.2","25.1","15.7","1.1","29.8","10.9","8.1"
"11","Seattle Seahawks","17","2022","Seattle","Seahawks","652","23.2","0.54","71.9","0.40","51.4","0.49","48.6","0.45","3.5","15.5","11.3","1.7","35.1","14.6","10.9"
"12","Jacksonville Jaguars","17","2022","Jacksonville","Jaguars","648","25.6","0.57","68.7","0.31","52.3","0.36","47.7","0.49","2.8","20.7","13.1","1.4","29.9","18.2","7.4"
"13","Las Vegas Raiders","17","2022","Las Vegas","Raiders","646","24.1","0.52","70.7","0.38","43.3","0.41","56.7","0.45","1.7","15.3","15.9","3.1","27.4","13.3","14.1"
"14","Pittsburgh Steelers","17","2022","Pittsburgh","Steelers","641","26.8","0.35","69.3","0.27","51.6","0.31","48.4","0.34","3.1","18.7","17.5","4.2","32.3","13.1","6.4"
"15","Houston Texans","17","2022","Houston","Texans","638","26.8","0.38","68.0","0.30","57.8","0.33","42.2","0.40","1.6","22.6","12.7","2.0","34.3","16.6","4.4"
"16","Miami Dolphins","17","2022","Miami","Dolphins","637","16.8","0.53","78.3","0.41","44.4","0.56","55.6","0.42","1.3","13.8","19.5","1.3","29.0","17.3","12.6"
"17","New York Giants","17","2022","New York","Giants","630","25.9","0.57","70.3","0.32","59.5","0.44","40.5","0.36","1.9","22.2","12.7","1.6","36.7","13.5","7.5"
"18","Washington Commanders","17","2022","Washington","Commanders","630","24.4","0.48","71.1","0.34","49.2","0.40","50.8","0.38","3.0","18.7","18.1","2.4","30.2","13.7","9.2"
"19","Detroit Lions","17","2022","Detroit","Lions","627","28.9","0.67","67.0","0.33","60.0","0.48","40.0","0.44","4.5","23.9","8.3","0.5","35.1","15.3","8.3"
"20","Philadelphia Eagles","17","2022","Philadelphia","Eagles","625","33.1","0.62","63.4","0.39","54.6","0.46","45.4","0.54","6.1","26.2","13.8","0.8","27.7","14.1","7.8"
"21","Cleveland Browns","17","2022","Cleveland","Browns","619","29.2","0.45","64.8","0.36","54.8","0.39","45.2","0.42","3.4","22.5","11.1","2.4","31.8","15.3","6.5"
"22","Los Angeles Rams","17","2022","Los Angeles","Rams","613","23.3","0.40","72.3","0.27","61.7","0.31","38.3","0.35","2.6","19.6","11.3","0.8","41.4","11.4","8.2"
"23","Green Bay Packers","17","2022","Green Bay","Packers","608","32.7","0.46","63.5","0.41","51.2","0.49","48.8","0.38","3.3","26.6","14.1","2.5","24.2","16.8","8.4"
"24","New England Patriots","17","2022","New England","Patriots","602","28.1","0.46","67.4","0.30","59.5","0.37","40.5","0.40","2.7","24.6","11.3","0.7","34.2","10.5","11.5"
