"Team Details","","","","","","","Man/Zone","","","","Middle of Field Look (Closed/Open)","","","","Coverages","","","","","",""
"Rank","Name","G","Season","Location","Team Name","DB","MAN %","FP/DB","ZONE %","FP/DB","1-HI/MOF C %","FP/DB","2-HI/MOF O %","FP/DB","COVER 0 %","COVER 1 %","COVER 2 %","COVER 2 MAN %","COVER 3 %","COVER 4 %","COVER 6 %"
"1","New York Jets","1","2022","New York","Jets","60","25.0","0.12","66.7","0.27","38.3","0.23","61.7","0.22","1.7","21.7","6.7","1.7","16.7","18.3","25.0"
"2","Tampa Bay Buccaneers","1","2022","Tampa Bay","Buccaneers","55","32.7","0.39","61.8","0.20","36.4","0.12","63.6","0.45","1.8","25.5","29.1","5.5","10.9","18.2","3.6"
"3","Los Angeles Chargers","1","2022","Los Angeles","Chargers","54","59.3","0.35","38.9","0.29","61.1","0.22","38.9","0.50","7.4","44.4","7.4","5.6","16.7","11.1","3.7"
"4","Washington Commanders","1","2022","Washington","Commanders","47","38.3","0.63","57.4","0.27","61.7","0.36","38.3","0.46","0.0","27.7","0.0","10.6","34.0","19.1","4.3"
"5","Baltimore Ravens","1","2022","Baltimore","Ravens","47","10.6","0.24","85.1","0.21","51.1","0.20","48.9","0.22","2.1","8.5","0.0","0.0","42.6","36.2","6.4"
"6","San Francisco 49ers","1","2022","San Francisco","49ers","45","35.6","0.44","57.8","0.25","66.7","0.26","33.3","0.66","15.6","20.0","11.1","0.0","46.7","0.0","0.0"
"7","Seattle Seahawks","1","2022","Seattle","Seahawks","44","2.3","0.00","93.2","0.51","70.5","0.69","29.5","0.29","0.0","2.3","2.3","0.0","63.6","6.8","20.5"
"8","Philadelphia Eagles","1","2022","Philadelphia","Eagles","43","18.6","0.91","79.1","0.56","30.2","0.32","69.8","0.78","2.3","16.3","25.6","0.0","14.0","37.2","2.3"
"9","Detroit Lions","1","2022","Detroit","Lions","43","25.6","0.93","74.4","0.35","67.4","0.60","32.6","0.29","2.3","23.3","11.6","0.0","44.2","11.6","7.0"
"10","New York Giants","1","2022","New York","Giants","40","7.5","0.75","85.0","0.31","32.5","0.60","67.5","0.34","2.5","5.0","25.0","0.0","27.5","32.5","0.0"
"11","Indianapolis Colts","1","2022","Indianapolis","Colts","40","15.0","0.16","85.0","0.36","40.0","0.48","60.0","0.24","0.0","10.0","30.0","2.5","30.0","22.5","2.5"
"12","Minnesota Vikings","1","2022","Minnesota","Vikings","39","35.9","0.15","64.1","0.43","46.2","0.45","53.8","0.23","0.0","35.9","0.0","0.0","10.3","38.5","15.4"
"13","Houston Texans","1","2022","Houston","Texans","39","20.5","0.73","74.4","0.15","51.3","0.10","48.7","0.42","5.1","12.8","2.6","2.6","38.5","15.4","17.9"
"14","Jacksonville Jaguars","1","2022","Jacksonville","Jaguars","39","30.8","0.21","64.1","0.28","64.1","0.26","35.9","0.51","0.0","30.8","2.6","0.0","33.3","7.7","20.5"
"15","New England Patriots","1","2022","New England","Patriots","38","5.3","0.22","89.5","0.35","42.1","0.48","57.9","0.21","0.0","2.6","10.5","2.6","39.5","28.9","10.5"
"16","Buffalo Bills","1","2022","Buffalo","Bills","37","43.2","0.56","54.1","0.20","64.9","0.40","35.1","0.59","5.4","37.8","18.9","0.0","27.0","2.7","5.4"
"17","Miami Dolphins","1","2022","Miami","Dolphins","37","5.4","0.36","94.6","0.43","32.4","0.59","67.6","0.35","0.0","5.4","13.5","0.0","27.0","40.5","13.5"
"18","Cincinnati Bengals","1","2022","Cincinnati","Bengals","36","33.3","0.72","61.1","0.39","27.8","0.76","72.2","0.54","2.8","13.9","16.7","0.0","13.9","22.2","8.3"
"19","Tennessee Titans","1","2022","Tennessee","Titans","35","5.7","2.68","94.3","0.25","40.0","0.49","60.0","0.33","0.0","5.7","0.0","0.0","34.3","48.6","11.4"
"20","Los Angeles Rams","1","2022","Los Angeles","Rams","35","11.4","0.29","82.9","0.24","65.7","0.26","34.3","0.10","0.0","11.4","0.0","0.0","51.4","2.9","28.6"
"21","Green Bay Packers","1","2022","Green Bay","Packers","32","18.8","0.13","78.1","0.42","40.6","0.25","59.4","0.45","3.1","12.5","31.3","0.0","25.0","15.6","6.3"
"22","New Orleans Saints","1","2022","New Orleans","Saints","32","37.5","0.33","59.4","0.53","59.4","0.60","40.6","0.21","0.0","31.3","12.5","0.0","25.0","6.3","15.6"
"23","Pittsburgh Steelers","1","2022","Pittsburgh","Steelers","31","29.0","0.12","71.0","0.58","64.5","0.28","35.5","0.75","6.5","19.4","16.1","3.2","45.2","6.5","3.2"
"24","Dallas Cowboys","1","2022","Dallas","Cowboys","31","16.1","1.99","80.6","0.13","74.2","0.52","25.8","0.74","0.0","16.1","3.2","0.0","58.1","19.4","0.0"
"25","Kansas City Chiefs","1","2022","Kansas City","Chiefs","31","25.8","1.06","58.1","0.28","45.2","1.12","54.8","0.24","6.5","19.4","16.1","0.0","19.4","19.4","3.2"
"26","Las Vegas Raiders","1","2022","Las Vegas","Raiders","30","63.3","0.27","36.7","1.08","60.0","0.18","40.0","1.14","6.7","43.3","6.7","10.0","16.7","3.3","10.0"
"27","Chicago Bears","1","2022","Chicago","Bears","28","0.0","0.00","100.0","0.32","57.1","0.23","42.9","0.45","0.0","","10.7","0.0","57.1","17.9","14.3"
"28","Denver Broncos","1","2022","Denver","Broncos","26","26.9","0.56","69.2","0.30","61.5","0.46","38.5","0.23","7.7","19.2","7.7","0.0","38.5","11.5","11.5"
"29","Atlanta Falcons","1","2022","Atlanta","Falcons","25","24.0","1.06","72.0","0.18","68.0","0.58","32.0","-0.03","0.0","24.0","20.0","0.0","44.0","4.0","4.0"
