"Team Details","","","","","","","Passing","","","","","","Rushing","","","","Receiving","","","","","FPTS",""
"Rank","Name","POS","G","Season","Location","Team Name","DB","ATT","CMP","YDS","TD","RATE","ATT","YDS","YPC","TD","TGT","REC","YDS","YPT","TD","FP/G","FP"
"1","Chicago Bears","QB","2","2025","Chicago","Bears","53","48","36","477","7","136.9","3","31","10.33","1","0","0","0","0.00","0","28.6","57.2"
"2","Miami Dolphins","QB","2","2025","Miami","Dolphins","63","52","41","502","3","126.1","17","57","3.35","3","0","0","0","0.00","0","27.9","55.8"
"3","Dallas Cowboys","QB","2","2025","Dallas","Cowboys","78","64","49","602","3","114.2","18","82","4.56","2","0","0","0","0.00","0","27.6","55.3"
"4","Baltimore Ravens","QB","2","2025","Baltimore","Ravens","103","94","61","612","4","93.0","15","38","2.53","2","0","0","0","0.00","0","27.1","54.3"
"5","Pittsburgh Steelers","QB","2","2025","Pittsburgh","Steelers","60","55","38","513","3","101.6","12","48","4.00","2","0","0","0","0.00","0","23.7","47.3"
"6","New York Giants","QB","2","2025","New York","Giants","94","82","57","594","3","97.3","14","85","6.07","0","0","0","0","0.00","0","21.6","43.3"
"7","Buffalo Bills","QB","2","2025","Buffalo","Bills","53","41","24","292","3","104.9","14","140","10.00","1","0","0","0","0.00","0","21.3","42.7"
"8","New Orleans Saints","QB","2","2025","New Orleans","Saints","80","68","47","442","5","111.3","13","44","3.38","0","0","0","0","0.00","0","20.5","41.1"
"9","Kansas City Chiefs","QB","2","2025","Kansas City","Chiefs","66","56","40","419","3","110.6","16","47","2.94","1","0","0","0","0.00","0","19.7","39.5"
"10","Tampa Bay Buccaneers","QB","2","2025","Tampa Bay","Buccaneers","77","66","40","505","2","94.6","10","48","4.80","1","0","0","0","0.00","0","19.5","39.0"
"11","Jacksonville Jaguars","QB","2","2025","Jacksonville","Jaguars","88","80","46","471","4","65.2","6","41","6.83","1","0","0","0","0.00","0","19.5","38.9"
"12","New York Jets","QB","2","2025","New York","Jets","65","57","37","424","4","110.6","10","55","5.50","0","0","0","0","0.00","0","19.2","38.5"
"13","New England Patriots","QB","2","2025","New England","Patriots","76","66","50","677","3","110.5","2","10","5.00","0","0","0","0","0.00","0","19.0","38.1"
"14","Las Vegas Raiders","QB","2","2025","Las Vegas","Raiders","85","73","49","529","3","96.2","13","42","3.23","0","1","1","2","2.00","0","18.3","36.6"
"15","Detroit Lions","QB","2","2025","Detroit","Lions","63","55","37","422","4","106.8","10","38","3.80","0","0","0","0","0.00","0","17.8","35.7"
"16","Cincinnati Bengals","QB","2","2025","Cincinnati","Bengals","92","87","55","561","4","77.8","4","10","2.50","0","0","0","0","0.00","0","17.7","35.4"
"17","Arizona Cardinals","QB","2","2025","Arizona","Cardinals","108","101","62","542","3","81.4","6","31","5.17","0","0","0","0","0.00","0","17.4","34.8"
"18","Cleveland Browns","QB","2","2025","Cleveland","Browns","61","52","33","338","5","114.1","7","12","1.71","0","0","0","0","0.00","0","17.4","34.7"
"19","Houston Texans","QB","2","2025","Houston","Texans","77","67","46","460","3","102.8","7","31","4.43","0","0","0","0","0.00","0","16.8","33.5"
"20","Los Angeles Chargers","QB","2","2025","Los Angeles","Chargers","95","82","48","438","1","61.9","11","77","7.00","1","0","0","0","0.00","0","16.1","32.2"
"21","Washington Commanders","QB","2","2025","Washington","Commanders","79","68","36","460","2","84.2","11","56","5.09","0","0","0","0","0.00","0","16.0","32.0"
"22","Seattle Seahawks","QB","2","2025","Seattle","Seahawks","78","70","46","492","3","76.6","6","20","3.33","0","0","0","0","0.00","0","15.8","31.7"
"23","Green Bay Packers","QB","2","2025","Green Bay","Packers","95","81","55","425","3","87.7","8","16","2.00","0","0","0","0","0.00","0","15.8","31.6"
"24","Indianapolis Colts","QB","2","2025","Indianapolis","Colts","68","61","41","352","4","83.5","5","30","6.00","0","0","0","0","0.00","0","15.5","31.1"
