"Team Details","","","","","","","Passing","","","","","","Rushing","","","","Receiving","","","","","FPTS",""
"Rank","Name","POS","G","Season","Location","Team Name","DB","ATT","CMP","YDS","TD","RATE","ATT","YDS","YPC","TD","TGT","REC","YDS","YPT","TD","FP/G","FP"
"1","Cincinnati Bengals","RB","7","2025","Cincinnati","Bengals","1","1","1","3","1","118.8","175","855","4.89","6","40","35","310","7.75","4","30.8","215.6"
"2","Baltimore Ravens","RB","6","2025","Baltimore","Ravens","0","0","0","0","0","","137","643","4.69","7","38","31","238","6.26","2","28.9","173.1"
"3","Miami Dolphins","RB","7","2025","Miami","Dolphins","0","0","0","0","0","","173","898","5.19","5","38","33","289","7.61","1","27.0","188.7"
"4","Tennessee Titans","RB","7","2025","Tennessee","Titans","0","0","0","0","0","","172","795","4.62","10","34","26","161","4.74","1","26.7","186.6"
"5","Buffalo Bills","RB","6","2025","Buffalo","Bills","0","0","0","0","0","","128","696","5.44","8","38","28","157","4.13","0","26.6","159.3"
"6","Dallas Cowboys","RB","7","2025","Dallas","Cowboys","0","0","0","0","0","","157","724","4.61","5","43","37","376","8.74","1","26.0","182.0"
"7","Tampa Bay Buccaneers","RB","7","2025","Tampa Bay","Buccaneers","0","0","0","0","0","","140","549","3.92","6","41","36","422","10.29","1","25.0","175.1"
"8","Chicago Bears","RB","6","2025","Chicago","Bears","0","0","0","0","0","","125","665","5.32","3","27","26","159","5.89","3","23.6","141.4"
"9","Philadelphia Eagles","RB","7","2025","Philadelphia","Eagles","0","0","0","0","0","","156","655","4.20","7","29","24","219","7.55","2","23.3","163.4"
"10","Los Angeles Chargers","RB","7","2025","Los Angeles","Chargers","0","0","0","0","0","","124","640","5.16","8","37","29","191","5.16","0","23.0","161.1"
"11","New Orleans Saints","RB","7","2025","New Orleans","Saints","0","0","0","0","0","","170","728","4.28","5","34","29","192","5.65","2","23.0","161.0"
"12","San Francisco 49ers","RB","7","2025","San Francisco","49ers","0","0","0","0","0","","148","600","4.05","4","43","36","206","4.79","3","22.4","156.6"
"13","Arizona Cardinals","RB","7","2025","Arizona","Cardinals","0","0","0","0","0","","144","605","4.20","6","40","32","220","5.50","1","22.2","155.5"
"14","Las Vegas Raiders","RB","7","2025","Las Vegas","Raiders","0","0","0","0","0","","142","569","4.01","8","39","31","175","4.49","0","22.2","155.4"
"15","New York Giants","RB","7","2025","New York","Giants","0","0","0","0","0","","126","674","5.35","5","37","31","201","5.43","1","21.9","153.5"
"16","Washington Commanders","RB","7","2025","Washington","Commanders","0","0","0","0","0","","163","677","4.15","4","32","25","288","9.00","1","21.6","151.5"
"17","Atlanta Falcons","RB","6","2025","Atlanta","Falcons","0","0","0","0","0","","125","575","4.60","3","29","23","141","4.86","2","20.6","123.6"
"18","Seattle Seahawks","RB","7","2025","Seattle","Seahawks","0","0","0","0","0","","134","402","3.00","2","58","45","327","5.64","2","20.3","141.9"
"19","Houston Texans","RB","6","2025","Houston","Texans","0","0","0","0","0","","131","504","3.85","7","23","18","109","4.74","0","20.2","121.3"
"20","New York Jets","RB","7","2025","New York","Jets","0","0","0","0","0","","175","699","3.99","4","27","20","132","4.89","2","19.9","139.1"
"21","Pittsburgh Steelers","RB","6","2025","Pittsburgh","Steelers","0","0","0","0","0","","130","585","4.50","2","31","27","183","5.90","1","19.8","118.8"
"22","Minnesota Vikings","RB","6","2025","Minnesota","Vikings","0","0","0","0","0","","147","613","4.17","3","32","25","152","4.75","0","19.8","118.5"
"23","Denver Broncos","RB","7","2025","Denver","Broncos","0","0","0","0","0","","141","580","4.11","2","24","20","264","11.00","3","19.1","133.4"
"24","Kansas City Chiefs","RB","7","2025","Kansas City","Chiefs","0","0","0","0","0","","118","546","4.63","3","35","30","216","6.17","1","18.6","130.2"
"25","Carolina Panthers","RB","7","2025","Carolina","Panthers","0","0","0","0","0","","124","531","4.28","3","40","33","192","4.80","1","18.3","128.3"
"26","Jacksonville Jaguars","RB","7","2025","Jacksonville","Jaguars","0","0","0","0","0","","134","493","3.68","2","40","29","250","6.25","2","18.2","127.3"
"27","New England Patriots","RB","7","2025","New England","Patriots","0","0","0","0","0","","130","413","3.18","2","41","36","278","6.78","1","17.6","123.1"
"28","Indianapolis Colts","RB","7","2025","Indianapolis","Colts","0","0","0","0","0","","121","496","4.10","3","42","29","198","4.71","1","17.3","121.4"
"29","Green Bay Packers","RB","6","2025","Green Bay","Packers","0","0","0","0","0","","110","393","3.57","2","40","35","154","3.85","0","17.3","103.7"
"30","Detroit Lions","RB","7","2025","Detroit","Lions","1","1","0","0","0","39.6","116","461","3.97","4","44","34","172","3.91","0","17.0","119.3"
"31","Cleveland Browns","RB","7","2025","Cleveland","Browns","1","1","1","32","1","158.3","142","494","3.48","3","39","29","129","3.31","0","16.1","112.6"
"32","Los Angeles Rams","RB","7","2025","Los Angeles","Rams","0","0","0","0","0","","146","564","3.86","0","35","28","179","5.11","1","15.3","107.3"

"Rank","Rank, Most to Least"
"Name","Team"
"POS","Player Position"
"G","Games Played"
"DB","Dropbacks"
"ATT","Passing Attempts"
"CMP","Passing Completions"
"YDS","Passing Yards"
"TD","Passing Touchdowns"
"RATE","QB Passer Rating"
"ATT","Rushing Attempts"
"YDS","Rushing Yards"
"YPC","Rushing Yards per Carry"
"TD","Rushing Touchdowns"
"TGT","Targets"
"REC","Receptions"
"YDS","Receiving Yards"
"YPT","Yards per Target"
"TD","Receiving Touchdowns"
"FP/G","Fantasy Points per Game"
"FP","Fantasy Points"
