"Team Details","","","","","","","Passing","","","","","","Rushing","","","","Receiving","","","","","FPTS",""
"Rank","Name","POS","G","Season","Location","Team Name","DB","ATT","CMP","YDS","TD","RATE","ATT","YDS","YPC","TD","TGT","REC","YDS","YPT","TD","FP/G","FP"
"1","Cincinnati Bengals","TE","6","2025","Cincinnati","Bengals","0","0","0","0","0","","1","3","3.00","0","51","37","395","7.75","5","17.8","106.8"
"2","Carolina Panthers","TE","6","2025","Carolina","Panthers","0","0","0","0","0","","0","0","","0","43","37","444","10.33","4","17.6","105.4"
"3","Green Bay Packers","TE","5","2025","Green Bay","Packers","0","0","0","0","0","","0","0","","0","48","39","298","6.21","3","17.4","86.8"
"4","Pittsburgh Steelers","TE","5","2025","Pittsburgh","Steelers","0","0","0","0","0","","1","2","2.00","0","43","32","359","8.35","3","17.2","86.1"
"5","New York Jets","TE","6","2025","New York","Jets","0","0","0","0","0","","1","7","7.00","0","45","34","267","5.93","6","16.2","97.4"
"6","Arizona Cardinals","TE","6","2025","Arizona","Cardinals","0","0","0","0","0","","0","0","","0","54","41","417","7.72","2","15.8","94.7"
"7","Miami Dolphins","TE","6","2025","Miami","Dolphins","0","0","0","0","0","","1","3","3.00","0","45","36","410","9.11","3","15.7","94.3"
"8","Seattle Seahawks","TE","6","2025","Seattle","Seahawks","0","0","0","0","0","","0","0","","0","50","38","346","6.92","3","15.4","92.6"
"9","Baltimore Ravens","TE","6","2025","Baltimore","Ravens","0","0","0","0","0","","1","0","","0","43","39","402","9.35","2","15.2","91.2"
"10","New England Patriots","TE","6","2025","New England","Patriots","0","0","0","0","0","","1","1","1.00","1","41","34","399","9.73","2","15.2","91.0"
"11","New Orleans Saints","TE","6","2025","New Orleans","Saints","0","0","0","0","0","","0","0","","0","41","32","315","7.68","4","14.6","87.5"
"12","Minnesota Vikings","TE","5","2025","Minnesota","Vikings","0","0","0","0","0","","1","2","2.00","0","39","31","244","6.26","3","14.5","72.6"
"13","Chicago Bears","TE","5","2025","Chicago","Bears","0","0","0","0","0","","0","0","","0","39","35","250","6.41","2","14.4","72.0"
"14","Tampa Bay Buccaneers","TE","6","2025","Tampa Bay","Buccaneers","0","0","0","0","0","","0","0","","0","39","33","280","7.18","4","14.2","85.0"
"15","Cleveland Browns","TE","6","2025","Cleveland","Browns","0","0","0","0","0","","2","12","6.00","0","42","30","298","7.10","4","14.2","85.0"
"16","Indianapolis Colts","TE","6","2025","Indianapolis","Colts","0","0","0","0","0","","0","0","","0","48","37","339","7.06","2","14.2","84.9"
"17","Dallas Cowboys","TE","6","2025","Dallas","Cowboys","0","0","0","0","0","","0","0","","0","44","38","337","7.66","1","13.3","79.7"
"18","Los Angeles Rams","TE","6","2025","Los Angeles","Rams","0","0","0","0","0","","5","5","1.00","1","44","33","276","6.27","2","13.2","79.1"
"19","Detroit Lions","TE","6","2025","Detroit","Lions","0","0","0","0","0","","2","4","2.00","0","41","29","316","7.71","3","13.2","79.0"
"20","San Francisco 49ers","TE","6","2025","San Francisco","49ers","0","0","0","0","0","","1","2","2.00","0","44","32","278","6.32","3","13.0","78.0"
"21","New York Giants","TE","6","2025","New York","Giants","1","1","1","19","0","118.8","6","-1","-0.17","0","49","34","296","6.04","2","12.7","76.3"
"22","Jacksonville Jaguars","TE","6","2025","Jacksonville","Jaguars","0","0","0","0","0","","0","0","","0","39","31","337","8.64","2","12.6","75.7"
"23","Washington Commanders","TE","6","2025","Washington","Commanders","0","0","0","0","0","","0","0","","0","32","25","338","10.56","2","12.1","72.8"
"24","Tennessee Titans","TE","6","2025","Tennessee","Titans","0","0","0","0","0","","0","0","","0","40","31","250","6.25","2","11.3","68.0"
"25","Las Vegas Raiders","TE","6","2025","Las Vegas","Raiders","1","1","0","0","0","39.6","0","0","","0","35","25","273","7.80","2","10.7","64.3"
"26","Los Angeles Chargers","TE","6","2025","Los Angeles","Chargers","0","0","0","0","0","","0","0","","0","31","22","196","6.32","3","9.9","59.6"
"27","Houston Texans","TE","5","2025","Houston","Texans","0","0","0","0","0","","0","0","","0","30","22","175","5.83","1","8.9","44.5"
"28","Kansas City Chiefs","TE","6","2025","Kansas City","Chiefs","0","0","0","0","0","","1","2","2.00","0","26","23","219","8.42","1","8.5","51.1"
"29","Denver Broncos","TE","6","2025","Denver","Broncos","0","0","0","0","0","","1","0","","0","35","21","215","6.14","1","8.1","48.5"
"30","Philadelphia Eagles","TE","6","2025","Philadelphia","Eagles","0","0","0","0","0","","0","0","","0","36","21","168","4.67","1","7.3","43.8"
"31","Buffalo Bills","TE","6","2025","Buffalo","Bills","0","0","0","0","0","","1","2","2.00","0","19","14","131","6.89","1","5.6","33.3"
"32","Atlanta Falcons","TE","5","2025","Atlanta","Falcons","0","0","0","0","0","","0","0","","0","16","9","88","5.50","1","5.2","25.8"

"Rank","Rank, Most to Least"
"Name","Team"
"POS","Player Position"
"G","Games Played"
"DB","Dropbacks"
"ATT","Passing Attempts"
"CMP","Passing Completions"
"YDS","Passing Yards"
"TD","Passing Touchdowns"
"RATE","QB Passer Rating"
"ATT","Rushing Attempts"
"YDS","Rushing Yards"
"YPC","Rushing Yards per Carry"
"TD","Rushing Touchdowns"
"TGT","Targets"
"REC","Receptions"
"YDS","Receiving Yards"
"YPT","Yards per Target"
"TD","Receiving Touchdowns"
"FP/G","Fantasy Points per Game"
"FP","Fantasy Points"
