"Team Details","","","","","","","Passing","","","","","","Rushing","","","","Receiving","","","","","FPTS",""
"Rank","Name","POS","G","Season","Location","Team Name","DB","ATT","CMP","YDS","TD","RATE","ATT","YDS","YPC","TD","TGT","REC","YDS","YPT","TD","FP/G","FP"
"1","Dallas Cowboys","WR","4","2025","Dallas","Cowboys","0","0","0","0","0","","7","32","4.57","0","73","56","827","11.33","9","49.0","195.9"
"2","New York Giants","WR","4","2025","New York","Giants","0","0","0","0","0","","4","36","9.00","1","92","60","733","7.97","4","41.7","166.9"
"3","Indianapolis Colts","WR","4","2025","Indianapolis","Colts","0","0","0","0","0","","4","23","5.75","0","81","58","679","8.38","6","41.1","164.2"
"4","Las Vegas Raiders","WR","4","2025","Las Vegas","Raiders","0","0","0","0","0","","5","20","4.00","0","77","57","695","9.03","5","39.6","158.5"
"5","Baltimore Ravens","WR","4","2025","Baltimore","Ravens","0","0","0","0","0","","4","55","13.75","0","80","51","616","7.70","6","38.5","154.1"
"6","Tennessee Titans","WR","4","2025","Tennessee","Titans","0","0","0","0","0","","2","47","23.50","1","74","53","671","9.07","4","38.5","153.8"
"7","Pittsburgh Steelers","WR","4","2025","Pittsburgh","Steelers","0","0","0","0","0","","0","0","","0","74","57","715","9.66","3","36.9","147.5"
"8","Cincinnati Bengals","WR","4","2025","Cincinnati","Bengals","0","0","0","0","0","","2","25","12.50","1","84","53","659","7.85","3","36.4","145.4"
"9","Washington Commanders","WR","4","2025","Washington","Commanders","0","0","0","0","0","","5","43","8.60","0","68","44","619","9.10","5","35.1","140.2"
"10","Los Angeles Rams","WR","4","2025","Los Angeles","Rams","0","0","0","0","0","","4","21","5.25","0","78","52","608","7.79","4","34.5","137.9"
"11","Jacksonville Jaguars","WR","4","2025","Jacksonville","Jaguars","0","0","0","0","0","","0","0","","0","88","53","596","6.77","4","34.4","137.6"
"12","Chicago Bears","WR","4","2025","Chicago","Bears","0","0","0","0","0","","7","33","4.71","0","57","36","558","9.79","6","33.8","135.1"
"13","Arizona Cardinals","WR","4","2025","Arizona","Cardinals","0","0","0","0","0","","4","11","2.75","0","87","58","626","7.20","2","33.4","133.7"
"14","Green Bay Packers","WR","4","2025","Green Bay","Packers","0","0","0","0","0","","3","19","6.33","0","77","51","524","6.81","4","32.8","131.3"
"15","New England Patriots","WR","4","2025","New England","Patriots","0","0","0","0","0","","4","35","8.75","0","60","43","598","9.97","4","32.6","130.3"
"16","New York Jets","WR","4","2025","New York","Jets","0","0","0","0","0","","4","14","3.50","1","62","42","618","9.97","3","32.3","129.2"
"17","New Orleans Saints","WR","4","2025","New Orleans","Saints","0","0","0","0","0","","2","-4","-2.00","0","57","42","574","10.07","5","32.3","129.0"
"18","Philadelphia Eagles","WR","4","2025","Philadelphia","Eagles","0","0","0","0","0","","8","33","4.13","0","85","48","597","7.02","3","32.3","129.0"
"19","Detroit Lions","WR","4","2025","Detroit","Lions","0","0","0","0","0","","1","9","9.00","0","67","41","586","8.75","4","31.1","124.5"
"20","Cleveland Browns","WR","4","2025","Cleveland","Browns","0","0","0","0","0","","7","9","1.29","0","57","39","485","8.51","6","31.1","124.4"
"21","Houston Texans","WR","4","2025","Houston","Texans","0","0","0","0","0","","3","2","0.67","0","78","45","573","7.35","2","28.6","114.5"
"22","Atlanta Falcons","WR","4","2025","Atlanta","Falcons","0","0","0","0","0","","5","27","5.40","0","66","39","494","7.48","4","28.5","114.1"
"23","Kansas City Chiefs","WR","4","2025","Kansas City","Chiefs","0","0","0","0","0","","1","3","3.00","0","69","46","497","7.20","3","28.5","114.0"
"24","Buffalo Bills","WR","4","2025","Buffalo","Bills","1","1","0","0","0","","7","23","3.29","0","59","39","435","7.37","5","28.5","113.8"
"25","Miami Dolphins","WR","4","2025","Miami","Dolphins","0","0","0","0","0","","2","26","13.00","0","50","37","427","8.54","5","27.8","111.3"
"26","Denver Broncos","WR","4","2025","Denver","Broncos","0","0","0","0","0","","3","16","5.33","0","84","50","508","6.05","1","26.9","107.4"
"27","Tampa Bay Buccaneers","WR","4","2025","Tampa Bay","Buccaneers","0","0","0","0","0","","0","0","","0","72","43","428","5.94","3","26.0","103.8"
"28","Los Angeles Chargers","WR","4","2025","Los Angeles","Chargers","0","0","0","0","0","","2","7","3.50","0","75","44","503","6.71","1","25.3","101.0"
"29","San Francisco 49ers","WR","4","2025","San Francisco","49ers","0","0","0","0","0","","3","11","3.67","0","62","41","441","7.11","2","24.3","97.2"
"30","Seattle Seahawks","WR","4","2025","Seattle","Seahawks","0","0","0","0","0","","1","4","4.00","0","69","41","412","5.97","2","23.7","94.6"
"31","Carolina Panthers","WR","4","2025","Carolina","Panthers","0","0","0","0","0","","4","13","3.25","1","62","34","396","6.39","2","23.2","92.9"
"32","Minnesota Vikings","WR","4","2025","Minnesota","Vikings","0","0","0","0","0","","4","17","4.25","0","49","32","417","8.51","2","21.1","84.4"

"Rank","Rank, Most to Least"
"Name","Team"
"POS","Player Position"
"G","Games Played"
"DB","Dropbacks"
"ATT","Passing Attempts"
"CMP","Passing Completions"
"YDS","Passing Yards"
"TD","Passing Touchdowns"
"RATE","QB Passer Rating"
"ATT","Rushing Attempts"
"YDS","Rushing Yards"
"YPC","Rushing Yards per Carry"
"TD","Rushing Touchdowns"
"TGT","Targets"
"REC","Receptions"
"YDS","Receiving Yards"
"YPT","Yards per Target"
"TD","Receiving Touchdowns"
"FP/G","Fantasy Points per Game"
"FP","Fantasy Points"
