"Player Details","","","","","","Weeks","","","","","","","","","","","","","","","","","","Fantasy Points",""
"Rank","Name","Team","POS","G","Season","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18","FP/G","FP"
"1","Christian McCaffrey","SF","RB","17","2025","23.2","22.7","24.0","26.1","27.9","24.1","39.1","9.8","34.3","17.6","35.1","27.2","17.4","","15.7","32.6","28.1","11.7","24.5","416.6"
"2","Puka Nacua","LA","WR","16","2025","23.1","27.6","22.8","36.0","24.5","4.8","","","22.8","17.4","15.3","16.7","13.2","35.7","27.9","46.5","15.7","26.0","23.5","376.0"
"3","Josh Allen","BUF","QB","17","2025","38.8","11.8","23.0","25.9","21.4","17.4","","23.2","28.8","21.3","44.7","10.1","17.7","37.8","24.5","6.9","24.2","0.0","22.2","377.6"
"4","Bijan Robinson","ATL","RB","17","2025","24.4","19.8","16.1","28.1","","35.8","21.2","6.8","17.6","10.8","30.3","14.7","30.3","10.4","30.5","29.8","39.9","7.3","22.0","373.8"
"5","Jahmyr Gibbs","DET","RB","17","2025","15.0","19.4","26.9","17.7","16.7","7.5","36.8","","5.8","38.2","19.6","55.4","11.6","37.0","9.8","22.8","7.4","20.3","21.6","367.9"
"6","Jonathan Taylor","IND","RB","17","2025","12.8","29.5","32.8","14.6","31.6","23.7","34.2","37.4","7.7","49.6","","8.6","15.1","12.4","13.1","16.9","17.4","5.9","21.4","363.3"
"7","Drake Maye","NE","QB","17","2025","16.8","26.3","21.2","23.2","12.1","27.2","23.1","27.3","18.4","19.1","15.4","17.0","20.5","","21.5","25.7","32.4","15.7","21.4","363.0"
"8","Matthew Stafford","LA","QB","17","2025","13.6","18.3","14.8","27.4","26.6","10.3","27.4","","26.8","26.9","13.2","22.9","14.6","23.2","21.9","30.9","15.8","26.7","21.3","361.4"
"9","Jaxon Smith-Njigba","SEA","WR","17","2025","20.4","18.3","20.6","13.0","27.2","30.2","26.3","","22.0","20.3","20.6","37.1","4.3","28.1","18.3","23.6","16.2","14.4","21.2","360.9"
"10","Patrick Mahomes","KC","QB","14","2025","26.0","23.1","13.2","27.3","27.7","31.5","26.2","25.0","11.5","","14.3","18.1","29.4","9.3","14.1","","","","21.2","296.7"
"11","Brock Purdy","SF","QB","9","2025","18.8","","","20.7","","","","","","","19.3","10.3","17.1","","27.2","31.9","37.9","6.2","21.0","189.4"
"12","Trevor Lawrence","JAX","QB","17","2025","11.3","21.2","8.8","11.7","28.2","19.2","17.6","","22.2","11.8","16.0","21.1","21.7","19.4","44.3","31.2","24.1","23.3","20.8","353.2"
"13","De'Von Achane","MIA","RB","16","2025","16.5","26.2","16.1","17.1","16.6","31.0","12.8","20.1","16.6","40.5","21.5","","19.4","17.5","18.7","18.0","14.2","","20.2","322.8"
"14","Ja'Marr Chase","CIN","WR","16","2025","4.6","36.5","9.9","7.3","29.0","25.1","38.1","21.1","17.1","","6.0","","18.0","10.2","23.2","19.9","25.0","23.6","19.7","314.6"
"15","Jalen Hurts","PHI","QB","16","2025","24.3","11.5","30.0","19.4","19.5","21.6","24.0","25.4","","13.0","14.5","30.9","18.3","5.4","22.9","19.4","8.9","","19.3","309.1"
"16","Caleb Williams","CHI","QB","17","2025","24.2","18.0","29.1","12.8","","19.9","5.7","12.8","38.7","25.1","10.3","22.7","10.5","15.9","19.0","21.0","23.0","17.6","19.2","326.2"
"17","Dak Prescott","DAL","QB","17","2025","7.8","23.1","14.0","31.0","28.3","22.3","23.3","8.6","16.4","","25.3","28.1","21.6","20.4","12.0","19.2","22.7","1.7","19.2","325.8"
"18","Amon-Ra St. Brown","DET","WR","17","2025","8.5","39.2","20.7","26.0","18.0","13.7","20.6","","18.7","16.8","6.2","29.9","0.0","15.2","41.4","9.4","14.8","24.9","19.1","324.0"
"19","Justin Herbert","LAC","QB","16","2025","27.9","19.8","15.6","14.5","15.6","18.8","29.9","26.3","28.7","14.7","4.3","","13.8","14.2","11.4","30.2","16.1","","18.9","301.9"
"20","Rashee Rice","KC","WR","8","2025","","","","","","","23.2","25.5","18.6","","9.8","24.1","29.4","7.4","12.1","","","","18.8","150.1"
"21","Bo Nix","DEN","QB","17","2025","9.8","21.2","13.4","26.7","17.9","13.4","40.0","24.8","19.5","7.8","12.6","","17.4","16.0","29.1","17.2","20.5","10.5","18.7","317.8"
"22","Trey McBride","ARZ","TE","17","2025","12.1","13.8","15.3","12.2","9.1","21.2","29.4","","16.5","27.7","27.5","16.9","22.2","10.8","37.4","6.7","23.6","13.5","18.6","315.9"
"23","Daniel Jones","IND","QB","13","2025","29.5","22.8","15.8","12.4","16.7","23.5","22.2","23.2","19.1","17.5","","16.8","16.1","1.8","","","","","18.3","237.4"
"24","Jared Goff","DET","QB","17","2025","11.9","34.0","12.7","13.7","21.1","16.8","12.3","","19.4","24.8","13.1","18.2","20.6","16.2","25.5","26.5","7.1","16.2","18.2","310.1"
"25","James Cook","BUF","RB","17","2025","21.2","26.5","20.8","22.5","4.9","8.7","","33.6","13.5","11.7","20.4","21.9","19.7","12.1","31.1","26.4","8.7","1.5","18.0","305.2"
"26","Jaxson Dart","NYG","QB","14","2025","","-0.3","0.3","19.8","18.6","23.6","29.4","19.4","27.2","27.3","","","13.6","","23.1","1.0","25.1","20.4","17.8","248.6"
"27","Joe Burrow","CIN","QB","8","2025","8.8","7.0","","","","","","","","","","","19.2","25.4","7.5","29.0","20.4","22.1","17.4","139.5"
"28","Lamar Jackson","BLT","QB","13","2025","29.4","26.3","27.0","12.7","","","","","25.6","16.6","6.7","7.2","9.5","22.1","15.6","4.7","","21.4","17.3","224.9"
"29","George Pickens","DAL","WR","17","2025","6.0","17.8","17.8","33.4","13.7","31.8","12.2","14.8","13.9","","29.4","29.6","16.8","8.7","6.3","26.0","11.8","1.9","17.2","291.9"
"30","Jacoby Brissett","ARZ","QB","14","2025","","0.2","","","0.0","21.7","20.8","","24.8","21.4","23.9","18.7","20.6","20.0","21.6","11.6","16.5","17.6","17.1","239.4"
"31","Jayden Daniels","WAS","QB","7","2025","20.1","19.7","","","17.1","23.6","18.7","","16.2","","","","","3.7","","","","","17.0","119.3"
"32","Drake London","ATL","WR","12","2025","13.5","6.9","10.5","25.0","","31.8","8.2","","38.8","24.4","18.9","","","","","5.7","1.4","17.8","16.9","202.9"
"33","Baker Mayfield","TB","QB","17","2025","22.6","19.9","17.7","19.9","26.7","19.6","12.1","5.1","","22.9","18.8","5.5","14.5","12.1","20.2","13.7","20.4","14.2","16.8","285.9"
"34","Chris Olave","NO","WR","16","2025","12.4","11.4","15.7","10.0","12.9","15.8","26.8","14.0","8.7","21.4","","16.0","14.7","6.0","20.5","36.8","25.9","","16.8","269.0"
"35","Chase Brown","CIN","RB","17","2025","13.1","8.5","6.0","10.1","11.8","8.9","12.0","25.5","19.2","","18.7","15.0","18.3","18.5","16.0","32.9","29.1","19.0","16.6","282.6"
"36","Derrick Henry","BLT","RB","17","2025","30.2","2.3","11.7","7.8","9.3","14.0","","19.1","13.1","11.4","20.2","22.8","17.4","11.2","10.0","23.8","45.6","12.6","16.6","282.5"
"37","Kyler Murray","ARZ","QB","5","2025","18.3","15.0","14.1","18.1","16.3","","","","","","","","","","","","","","16.4","81.8"
"38","Justin Fields","NYJ","QB","9","2025","29.5","5.0","","28.1","25.9","4.9","4.0","20.9","","8.0","20.3","","","","","","","","16.3","146.7"
"39","Jordan Love","GB","QB","15","2025","15.9","20.9","12.1","27.3","","16.0","13.4","28.3","10.0","8.8","17.7","7.1","25.8","20.3","15.9","3.8","","","16.2","243.1"
"40","Cam Skattebo","NYG","RB","8","2025","2.9","13.9","24.1","13.0","15.4","31.0","18.4","10.0","","","","","","","","","","","16.1","128.7"
"41","Josh Jacobs","GB","RB","15","2025","14.0","14.4","12.4","31.7","","32.0","18.8","13.5","20.0","20.7","4.0","","10.1","17.2","23.2","5.8","1.3","","15.9","239.1"
"42","Davante Adams","LA","WR","14","2025","9.1","22.6","14.6","15.6","13.8","7.9","26.5","","23.0","19.7","7.1","23.2","21.8","6.9","11.1","","","","15.9","222.9"
"43","Kyren Williams","LA","RB","17","2025","13.9","10.0","19.2","11.4","32.1","16.7","8.5","","17.4","22.4","16.6","5.8","13.2","17.7","21.8","11.5","16.0","11.1","15.6","265.3"
"44","C.J. Stroud","HST","QB","14","2025","9.7","15.0","12.4","18.4","28.8","","14.7","22.7","4.4","","","","10.0","12.6","23.4","11.5","15.8","17.3","15.5","216.5"
"45","Jameis Winston","NYG","QB","3","2025","","","","","","","","","","","13.0","33.2","","","0.0","","","","15.4","46.3"
"46","Javonte Williams","DAL","RB","16","2025","20.4","25.0","13.2","19.0","26.9","8.4","18.8","17.9","8.3","","10.3","12.1","17.0","14.7","15.1","6.3","11.4","","15.3","244.8"
"47","Nico Collins","HST","WR","15","2025","5.5","14.2","23.4","11.9","16.0","","6.7","","14.5","22.6","24.2","8.5","21.5","16.1","23.5","9.9","8.7","","15.1","227.2"
"48","Tyler Shough","NO","QB","11","2025","","","0.0","","","","","5.3","10.2","19.0","","9.9","19.4","22.3","18.1","17.1","21.9","22.8","15.1","166.0"
"49","Omarion Hampton","LAC","RB","9","2025","8.1","3.5","24.9","27.5","13.0","","","","","","","","","14.7","7.5","16.5","20.0","","15.1","135.7"
"50","Carson Wentz","MIN","QB","5","2025","","","15.3","23.2","14.7","","13.3","8.8","","","","","","","","","","","15.1","75.3"
"51","Sam Darnold","SEA","QB","17","2025","6.4","17.8","16.7","16.1","28.6","20.0","10.6","","28.2","7.9","8.3","17.7","4.1","23.3","11.3","21.5","8.1","8.8","15.0","255.4"
