"Player Details","","","","","","Snap Share","","","","","","","","","","","","","","","","","",""
"Rank","Name","Team","POS","G","Season","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18","Snap %"
"1","Michael Pittman","IND","WR","16","2022","97.8","","94.2","90.5","100.0","98.6","100.0","94.4","93.3","96.6","98.4","98.4","92.9","","96.2","100.0","96.4","98.6","96.7"
"2","D.J. Moore","CAR","WR","17","2022","100.0","96.3","98.3","100.0","92.3","100.0","100.0","97.3","97.9","90.6","98.1","96.9","","95.8","95.3","95.4","98.4","91.4","96.5"
"3","Cooper Kupp","LA","WR","9","2022","100.0","98.4","100.0","100.0","98.4","95.2","","94.6","100.0","66.7","","","","","","","","","94.9"
"4","Davante Adams","LV","WR","17","2022","94.6","96.7","100.0","94.6","100.0","","96.4","70.9","94.7","92.2","98.4","100.0","96.6","96.6","98.4","96.2","87.9","89.6","94.5"
"5","Cole Kmet","CHI","TE","17","2022","85.7","85.4","91.9","98.3","89.4","91.3","98.6","93.0","98.6","93.1","90.9","100.0","100.0","","100.0","98.3","88.0","96.0","94.3"
"6","Ja'Marr Chase","CIN","WR","12","2022","100.0","95.5","86.4","93.7","100.0","98.1","92.4","","","","","","83.3","93.4","90.3","97.4","","93.8","93.9"
"7","Mack Hollins","LV","WR","17","2022","87.5","85.2","96.9","95.9","94.6","","100.0","90.9","84.2","95.3","100.0","96.1","98.3","96.6","87.5","94.2","86.4","95.5","93.3"
"8","Justin Jefferson","MIN","WR","17","2022","91.8","98.3","100.0","95.5","100.0","94.0","","98.5","100.0","100.0","77.8","97.0","95.5","93.5","91.8","100.0","78.9","50.7","92.1"
"9","DeVonta Smith","PHI","WR","17","2022","95.8","98.5","88.2","84.4","98.6","88.2","","73.6","90.3","87.2","95.1","92.4","85.1","90.9","95.8","92.8","98.1","100.0","91.7"
"10","Dallas Goedert","PHI","TE","12","2022","93.1","89.7","66.2","89.6","95.8","97.1","","77.4","90.3","100.0","","","","","","97.1","98.1","100.0","91.2"
"11","Gabe Davis","BUF","WR","15","2022","98.3","","94.4","100.0","83.3","93.1","","87.0","95.1","93.1","87.1","93.2","80.6","90.7","97.2","86.2","","79.3","90.8"
"12","Brandon Aiyuk","SF","WR","17","2022","98.5","87.1","86.5","91.8","88.5","91.2","93.1","98.1","","97.1","78.9","97.0","94.9","76.3","96.7","96.1","95.2","72.1","90.7"
"13","Allen Robinson","LA","WR","10","2022","97.0","90.5","91.3","98.6","82.5","87.3","","92.9","89.1","91.7","83.9","","","","","","","","90.6"
"14","Marquise Brown","ARZ","WR","12","2022","93.7","89.7","95.1","94.3","97.1","95.8","","","","","","96.9","","95.7","89.8","64.4","89.9","84.0","90.6"
"15","George Kittle","SF","TE","15","2022","","","90.4","93.9","86.9","98.2","86.1","100.0","","92.9","78.9","97.0","96.2","84.7","93.4","92.2","93.5","70.5","90.3"
"16","Allen Lazard","GB","WR","15","2022","","81.8","90.2","95.8","93.4","97.1","59.6","","88.4","98.4","91.5","100.0","95.2","","94.1","90.6","73.8","91.2","89.8"
"17","Terry McLaurin","WAS","WR","17","2022","88.6","90.3","89.2","98.6","98.3","98.1","94.4","95.1","100.0","85.2","71.6","80.0","91.5","","89.7","92.8","80.9","77.8","89.4"
"18","Diontae Johnson","PIT","WR","17","2022","80.3","86.2","98.2","88.3","93.1","95.1","92.8","94.2","","93.7","95.6","94.0","81.5","94.3","72.1","87.9","91.4","79.1","89.3"
"19","Donovan Peoples-Jones","CLV","WR","17","2022","83.8","76.9","85.9","84.5","84.6","86.6","92.9","97.1","","85.5","98.5","96.0","93.4","100.0","76.6","95.5","84.9","91.4","89.2"
"20","Adam Thielen","MIN","WR","17","2022","95.1","96.6","98.5","97.0","95.9","86.0","","88.2","93.8","94.9","75.9","92.4","86.4","93.5","90.6","91.5","84.2","52.1","89.1"
"21","Courtland Sutton","DEN","WR","15","2022","95.3","90.8","88.6","93.8","93.0","100.0","92.0","95.1","","93.2","91.9","93.0","44.2","","","77.0","81.8","93.5","88.6"
"22","DeAndre Hopkins","ARZ","WR","9","2022","","","","","","","93.3","100.0","93.4","95.4","69.0","73.4","","85.5","91.5","93.2","","","88.2"
"23","Christian Kirk","JAX","WR","17","2022","90.3","89.6","92.0","95.7","93.2","91.5","90.8","78.5","75.0","93.4","","90.2","85.5","80.6","88.6","81.7","81.7","95.7","87.6"
"24","Tyler Higbee","LA","TE","17","2022","93.9","98.4","93.5","93.2","96.8","76.2","","71.4","81.8","81.7","93.5","63.0","87.3","95.1","86.0","92.2","91.7","88.1","87.6"
"25","CeeDee Lamb","DAL","WR","17","2022","96.9","94.9","95.1","94.7","92.5","93.8","83.1","84.2","","91.1","65.7","78.3","72.3","95.8","93.2","84.7","83.8","87.7","87.3"
"26","T.J. Hockenson","MIN, DET","TE","17","2022","97.0","93.4","76.3","86.2","92.2","","83.9","87.5","90.8","92.4","75.9","78.8","89.4","95.2","95.3","90.1","80.7","46.5","85.4"
"27","Zay Jones","JAX","WR","16","2022","85.5","67.2","76.0","","76.7","94.9","96.9","98.5","94.1","91.8","","88.5","81.8","77.6","95.7","76.1","76.7","93.6","85.4"
"28","A.J. Brown","PHI","WR","17","2022","86.1","86.8","79.4","85.7","74.6","86.8","","67.9","87.1","80.9","88.5","97.5","79.1","84.8","88.7","91.3","100.0","79.2","85.1"
"29","Parris Campbell","IND","WR","17","2022","76.7","85.4","81.2","66.7","93.2","100.0","98.4","77.8","81.7","81.4","79.0","87.1","77.1","","82.3","90.0","96.4","91.4","85.0"
"30","Mike Evans","TB","WR","15","2022","72.6","61.5","","89.8","84.0","95.6","87.9","95.2","88.6","74.3","","92.4","82.7","87.8","82.6","92.3","82.2","","84.7"
"31","Mark Andrews","BLT","TE","15","2022","84.9","85.2","96.6","95.3","96.7","91.4","88.9","13.5","","","93.9","83.8","85.5","88.5","93.4","82.4","96.0","","84.0"
"32","Amari Cooper","CLV","WR","17","2022","81.1","80.0","84.5","85.9","93.8","74.6","94.6","81.2","","85.5","85.3","94.7","82.0","85.7","71.9","89.6","60.4","89.7","83.8"
"33","David Njoku","CLV","TE","14","2022","86.5","93.8","87.3","91.5","84.6","79.1","58.9","","","","36.8","80.0","","94.3","93.8","95.5","90.6","91.4","83.2"
"34","Darnell Mooney","CHI","WR","12","2022","89.3","90.2","93.5","86.7","93.6","91.3","81.4","85.9","85.7","87.9","80.3","32.1","","","","","","","83.2"
"35","Brandin Cooks","HST","WR","13","2022","91.2","86.4","85.7","81.1","76.8","","89.2","84.3","","65.0","81.5","74.1","","","","76.2","82.1","90.6","82.0"
"36","Rondale Moore","ARZ","WR","8","2022","","","","88.6","92.6","98.6","90.0","98.6","91.8","96.9","2.8","","","","","","","","81.9"
"37","Ben Skowronek","LA","WR","14","2022","87.9","85.7","84.8","87.7","87.3","68.3","","58.9","65.5","96.7","83.9","63.0","96.8","100.0","69.8","","","","81.9"
"38","DK Metcalf","SEA","WR","17","2022","79.6","91.5","97.1","74.6","95.8","80.0","25.4","62.9","81.4","90.0","","90.5","86.2","90.6","95.1","90.4","81.7","82.9","81.8"
"39","Chris Godwin","TB","WR","15","2022","33.9","","","81.4","52.0","89.7","93.9","87.1","92.4","89.2","","95.5","85.3","91.9","89.9","89.7","84.9","48.1","81.1"
"40","Saquon Barkley","NYG","RB","16","2022","82.8","85.7","91.0","95.1","65.5","91.9","82.9","81.3","","79.1","77.8","74.6","89.2","32.3","87.1","92.4","78.7","","80.7"
"41","Dawson Knox","BUF","TE","15","2022","84.5","67.7","71.1","75.8","","87.5","","87.0","85.2","81.9","79.0","77.0","87.5","87.0","81.7","77.6","","81.0","80.5"
"42","Dalton Schultz","DAL","TE","15","2022","100.0","93.2","","91.2","17.0","","67.8","71.9","","74.7","70.0","84.1","76.9","93.0","98.6","88.9","77.0","89.2","80.5"
"43","Josh Palmer","LAC","WR","16","2022","78.5","90.5","94.8","56.7","72.5","86.7","","","91.0","94.6","92.3","95.3","93.2","78.2","65.2","59.7","61.3","77.6","80.4"
"44","Garrett Wilson","NYJ","WR","17","2022","48.1","65.2","63.2","79.1","57.1","41.5","77.4","89.7","91.7","","100.0","80.6","91.6","98.6","98.4","98.2","100.0","86.8","80.1"
"45","Sterling Shepard","NYG","WR","3","2022","70.7","87.1","80.6","","","","","","","","","","","","","","","","80.0"
"46","Zach Ertz","ARZ","TE","10","2022","60.3","84.6","92.6","82.9","94.1","94.4","83.3","91.4","96.7","12.3","","","","","","","","","79.9"
"47","Travis Kelce","KC","TE","17","2022","63.6","88.9","88.3","80.5","76.8","82.0","77.6","","81.3","72.6","79.0","81.9","81.5","80.6","77.6","80.4","87.9","73.2","79.5"
"48","Tyler Lockett","SEA","WR","16","2022","79.6","91.5","81.2","77.8","95.8","81.5","68.3","67.7","74.3","90.0","","88.9","87.7","92.5","90.2","","31.0","80.0","78.7"
"49","Amon-Ra St. Brown","DET","WR","16","2022","87.9","95.1","73.7","","31.3","","17.9","94.6","96.5","81.4","88.9","88.1","86.5","86.8","87.9","85.2","70.0","85.0","78.7"
"50","Drake London","ATL","WR","17","2022","73.2","82.1","83.3","80.0","68.9","69.6","86.7","89.6","76.7","86.7","75.5","89.1","86.8","","81.2","76.5","78.7","58.2","78.6"
"51","Jakobi Meyers","NE","WR","14","2022","88.9","80.3","","","80.4","80.0","100.0","82.7","82.3","","94.9","25.5","56.9","","60.3","100.0","80.7","87.5","78.6"
"52","Robert Woods","TEN","WR","17","2022","70.0","66.0","76.4","76.9","85.5","","75.4","65.5","60.4","81.7","75.0","80.4","92.5","85.5","82.5","94.8","73.8","86.1","78.4"
"53","Van Jefferson","LA","WR","11","2022","","","","","","","","55.4","34.5","28.3","77.4","87.0","100.0","96.7","97.7","93.8","93.8","96.6","78.1"
"54","Foster Moreau","LV","TE","15","2022","32.1","62.3","52.3","","","","94.5","100.0","96.5","95.3","100.0","100.0","89.8","100.0","56.3","67.3","80.3","40.3","77.8"
"55","Evan Engram","JAX","TE","17","2022","71.0","70.1","74.7","73.9","72.6","78.0","83.1","93.8","54.4","85.2","","83.6","76.4","79.1","85.7","76.1","66.7","87.2","77.0"
"56","Stefon Diggs","BUF","WR","16","2022","63.8","64.6","71.1","95.2","75.9","88.9","","81.5","73.8","93.1","64.5","77.0","72.2","77.8","84.5","65.5","","79.3","77.0"
"57","Mike Williams","LAC","WR","13","2022","93.8","87.8","89.7","94.0","88.4","94.0","79.7","","","","9.2","","","66.7","88.4","85.1","79.0","37.3","76.7"
"58","Michael Gallup","DAL","WR","14","2022","","","","59.6","54.7","78.1","66.1","84.2","","86.1","61.4","73.9","67.7","76.1","94.6","83.3","83.8","90.8","76.5"
"59","Deebo Samuel","SF","WR","13","2022","82.1","77.1","80.8","79.6","83.6","82.5","86.1","","","87.1","57.9","79.1","82.3","40.7","","","","67.2","76.4"
"60","Greg Dulcich","DEN","TE","10","2022","","","","","","70.9","60.0","82.0","","90.4","87.1","86.0","73.1","76.8","70.1","67.2","","","76.3"
"61","George Pickens","PIT","WR","17","2022","70.5","82.8","74.5","70.0","76.4","82.0","82.6","89.9","","73.4","85.3","79.1","66.2","75.5","67.6","81.8","72.9","62.7","76.1"
"62","Tyler Conklin","NYJ","TE","17","2022","91.1","100.0","78.9","80.6","67.9","67.9","67.9","72.4","73.3","","73.5","77.4","72.3","64.4","75.4","69.6","58.2","96.2","75.9"
"63","Terrace Marshall","CAR","WR","14","2022","","9.3","","","41.5","47.7","82.0","91.8","91.7","87.5","92.6","62.5","","84.7","88.4","93.8","86.9","93.1","75.8"
"64","Tyreek Hill","MIA","WR","17","2022","66.1","75.4","87.2","93.3","61.3","79.2","88.7","71.9","77.4","73.1","","59.7","84.4","67.3","82.5","80.0","79.7","70.3","75.8"
"65","Hunter Henry","NE","TE","17","2022","79.6","47.0","66.7","84.5","98.2","96.9","85.4","64.0","66.1","","83.1","70.9","88.2","68.4","81.0","5.7","100.0","100.0","75.5"
"66","Jahan Dotson","WAS","WR","12","2022","87.1","98.6","86.5","60.6","","","","","","40.7","67.2","60.0","79.3","","84.5","89.9","79.4","74.6","75.4"
"67","Nick Westbrook-Ikhine","TEN","WR","17","2022","66.7","64.2","58.2","61.5","90.3","","75.4","74.1","77.1","78.3","78.1","75.0","94.3","95.2","84.2","77.6","70.8","59.7","75.3"
"68","Josh Jacobs","LV","RB","17","2022","60.7","75.4","64.6","90.5","82.1","","80.0","54.5","70.2","76.6","82.3","80.5","78.0","82.8","73.4","82.7","68.2","73.1","75.3"
"69","Noah Brown","DAL","WR","16","2022","90.6","84.7","78.7","78.9","77.4","90.6","79.7","","","75.9","75.7","44.9","78.5","70.4","74.3","76.4","58.1","67.7","74.7"
"70","K.J. Osborn","MIN","WR","17","2022","65.6","76.3","74.6","84.8","82.4","58.0","","79.4","80.0","78.5","74.1","54.5","65.2","74.2","82.4","69.0","78.9","77.5","74.3"
"71","Keenan Allen","LAC","WR","10","2022","32.3","","","","","","33.3","","","","67.7","89.1","95.9","85.9","88.4","83.6","85.5","76.1","74.1"
"72","Jaylen Waddle","MIA","WR","17","2022","67.8","79.7","71.8","85.0","75.8","84.7","79.0","76.6","69.8","68.7","","59.7","53.3","85.7","70.2","73.3","75.4","75.0","73.9"
"73","Dalvin Cook","MIN","RB","17","2022","77.0","67.8","62.7","69.7","56.8","88.0","","77.9","86.2","84.8","61.1","84.8","75.8","87.1","85.9","80.3","57.9","33.8","72.9"
"74","Christian McCaffrey","SF, CAR","RB","17","2022","80.0","92.6","79.7","86.3","86.2","86.4","29.2","80.8","","64.3","64.9","62.7","81.0","67.8","90.2","74.5","83.9","44.3","72.8"
"75","Daniel Bellinger","NYG","TE","12","2022","50.0","57.1","64.2","55.7","72.4","93.5","35.7","","","","","","96.9","62.9","98.4","98.5","88.5","","72.6"
"76","Kyle Pitts","ATL","TE","10","2022","84.5","92.9","68.5","61.8","","55.4","77.8","74.6","68.3","88.3","43.4","","","","","","","","72.1"
"77","Tyler Boyd","CIN","WR","16","2022","78.7","83.6","66.7","71.4","98.3","96.3","74.2","96.0","65.3","","81.5","74.2","87.9","3.3","59.7","51.3","","73.4","72.1"
