"Player Details","","","","","","Snap Share","","","","","","","","","","","","","","","","","",""
"Rank","Name","Team","POS","G","Season","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18","Snap %"
"1","Tre Tucker","LV","WR","17","2025","90.3","90.8","93.5","98.1","87.7","91.2","86.7","","96.7","100.0","96.6","94.7","95.7","93.8","92.9","100.0","100.0","98.3","94.6"
"2","Ja'Marr Chase","CIN","WR","16","2025","85.7","96.9","84.6","95.3","91.4","100.0","98.6","98.3","98.5","","98.4","","98.8","100.0","97.2","86.9","75.7","100.0","94.3"
"3","Justin Jefferson","MIN","WR","17","2025","100.0","100.0","79.3","100.0","100.0","","98.5","87.2","94.9","100.0","100.0","100.0","96.0","80.3","96.2","94.8","98.0","78.1","94.1"
"4","Jakobie Keeney-James","GB","WR","1","2025","","","","","","","","","","","","","","","","","","94.0","94.0"
"5","Cade Otton","TB","TE","16","2025","87.5","91.7","90.6","97.1","91.4","100.0","97.0","96.4","","97.0","97.1","85.1","96.5","82.6","","95.1","96.8","95.5","93.4"
"6","Trey McBride","ARZ","TE","17","2025","98.4","89.6","87.5","95.3","89.1","91.4","85.7","","87.7","84.9","88.7","89.5","88.5","96.7","92.1","96.4","96.3","96.2","91.1"
"7","Drake London","ATL","WR","12","2025","87.3","84.1","86.4","84.4","","97.0","98.3","","98.1","98.3","93.1","","","","","69.9","98.1","95.1","90.3"
"8","A.J. Brown","PHI","WR","15","2025","87.1","96.6","92.1","96.5","92.7","96.4","91.8","","","76.7","92.8","93.1","96.1","97.0","71.2","87.9","88.9","","90.2"
"9","Jameson Williams","DET","WR","17","2025","96.9","87.9","90.9","83.9","82.0","86.8","84.6","","90.3","86.8","94.9","96.9","95.0","91.2","90.3","94.2","82.8","94.4","90.1"
"10","Sam LaPorta","DET","TE","9","2025","90.8","84.5","83.3","92.9","93.4","96.2","96.9","","100.0","75.0","","","","","","","","","90.1"
"11","Wan'Dale Robinson","NYG","WR","16","2025","75.8","70.8","75.4","97.1","94.3","97.0","89.9","98.0","100.0","98.6","97.1","81.8","98.1","","98.5","97.9","74.6","","90.1"
"12","Garrett Wilson","NYJ","WR","7","2025","100.0","93.6","100.0","98.2","93.2","83.9","","","","40.4","","","","","","","","","88.6"
"13","Rome Odunze","CHI","WR","12","2025","93.7","100.0","89.5","76.6","","96.6","94.0","93.5","100.0","78.1","75.3","77.0","80.0","","","","","","87.7"
"14","Kyle Pitts","ATL","TE","17","2025","77.5","79.4","81.8","73.4","","92.4","81.7","91.8","94.4","91.7","84.5","94.5","91.0","91.9","95.5","86.3","92.5","91.8","87.5"
"15","DK Metcalf","PIT","WR","15","2025","94.4","91.5","87.8","79.2","","82.8","98.1","94.7","82.0","92.0","85.0","85.5","86.0","82.4","77.4","88.6","","","87.1"
"16","Tetairoa McMillan","CAR","WR","17","2025","82.0","85.7","89.1","93.8","89.2","92.2","87.1","94.9","85.2","90.0","85.3","90.7","74.2","","83.9","87.0","82.7","87.8","87.0"
"17","Zay Flowers","BLT","WR","17","2025","90.0","77.4","85.2","88.7","82.5","90.7","","94.9","82.1","81.8","88.3","82.8","94.7","92.2","77.5","88.9","68.9","97.9","86.1"
"18","Alec Pierce","IND","WR","15","2025","78.6","89.6","56.6","","","81.0","86.2","80.8","90.4","94.6","","96.0","96.1","82.5","100.0","96.6","90.9","68.3","85.9"
"19","Tucker Kraft","GB","TE","8","2025","91.5","90.5","88.5","94.9","","91.7","90.6","92.1","47.6","","","","","","","","","","85.9"
"20","Theo Johnson","NYG","TE","15","2025","75.8","84.6","86.9","69.6","81.4","89.6","87.0","98.0","85.7","97.1","91.3","76.6","86.8","","86.6","95.8","","","85.7"
"21","Michael Pittman","IND","WR","17","2025","81.4","83.6","79.2","92.9","78.9","84.5","86.2","78.8","90.4","81.1","","82.0","82.4","87.3","93.1","93.1","85.5","88.9","85.3"
"22","Amon-Ra St. Brown","DET","WR","17","2025","93.8","86.2","84.8","89.3","80.3","88.7","90.8","","95.2","76.5","96.6","96.9","6.7","91.2","95.2","97.1","82.8","94.4","85.3"
"23","Jordan Addison","MIN","WR","14","2025","","","","95.8","75.4","","92.5","85.1","91.5","95.1","96.3","97.7","92.0","68.9","65.4","67.2","76.5","92.2","85.3"
"24","Courtland Sutton","DEN","WR","17","2025","94.4","75.5","81.3","85.0","94.3","78.9","93.4","84.2","91.8","87.7","91.8","","81.2","63.9","89.2","93.8","81.7","77.6","85.2"
"25","Jerry Jeudy","CLV","WR","17","2025","87.3","87.5","84.2","81.5","91.0","88.0","67.9","82.7","","95.7","83.3","64.6","86.7","89.1","96.4","71.9","94.0","88.5","85.1"
"26","Brock Bowers","LV","TE","12","2025","50.0","75.4","83.9","76.9","","","","","80.0","82.8","96.6","96.0","97.8","100.0","90.5","98.1","","","85.0"
"27","DJ Moore","CHI","WR","17","2025","82.5","89.1","89.5","76.6","","94.9","86.6","83.9","84.2","60.9","80.8","75.4","90.6","82.4","89.1","95.0","92.2","84.6","84.6"
