"Player Details","","","","","","Target Share","","","","","","","","","","","","","","","","","",""
"Rank","Name","Team","POS","G","Season","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18","TM TGT %"
"1","Jaxon Smith-Njigba","SEA","WR","17","2025","56.5","30.3","28.6","19.2","26.5","44.4","40.6","","37.5","41.7","27.3","38.5","11.5","33.3","25.0","35.3","40.7","30.8","32.6"
"2","Garrett Wilson","NYJ","WR","7","2025","36.4","31.8","33.3","29.6","21.7","47.1","","","","18.2","","","","","","","","","30.4"
"3","Ja'Marr Chase","CIN","WR","16","2025","21.7","35.6","22.2","28.0","22.5","26.7","48.9","55.9","19.1","","22.5","","30.4","19.4","41.0","33.3","25.0","25.6","30.2"
"4","Puka Nacua","LA","WR","16","2025","37.9","27.3","44.1","36.6","25.5","11.5","","","21.9","16.7","28.6","28.6","32.1","35.5","28.9","32.7","26.3","25.0","28.8"
"5","Amon-Ra St. Brown","DET","WR","17","2025","12.8","39.3","28.6","25.9","37.5","34.5","34.5","","32.4","22.9","29.7","31.0","0.0","26.5","43.9","16.7","41.4","33.3","28.5"
"6","Justin Jefferson","MIN","WR","17","2025","35.0","28.6","29.2","23.9","31.4","","23.8","35.5","36.0","28.6","28.1","26.3","20.0","17.4","29.2","34.8","31.3","32.3","28.5"
"7","Drake London","ATL","WR","12","2025","35.7","19.0","18.6","38.5","","46.9","18.4","","37.8","28.6","30.0","","","","","22.9","10.0","25.0","28.1"
"8","Zay Flowers","BLT","WR","17","2025","47.4","34.5","10.7","24.2","25.0","29.4","","40.9","21.7","20.7","20.0","26.1","21.9","31.4","41.7","35.0","25.0","33.3","27.7"
"9","A.J. Brown","PHI","WR","15","2025","4.3","36.4","31.3","33.3","21.1","27.3","26.1","","","11.5","39.3","25.6","35.3","32.5","11.1","40.0","25.9","","27.5"
"10","Chris Olave","NO","WR","16","2025","26.1","29.4","31.7","21.4","31.3","38.5","21.9","23.5","12.0","28.6","","28.9","15.8","25.0","27.3","32.0","40.7","","27.2"
"11","Wan'Dale Robinson","NYG","WR","16","2025","21.6","24.4","12.5","23.8","17.5","26.9","30.3","16.7","33.3","27.8","31.0","35.1","33.3","","24.3","38.5","40.0","","26.8"
"12","Rashee Rice","KC","WR","8","2025","","","","","","","25.7","26.5","23.5","","20.0","26.1","35.3","21.2","33.3","","","","26.2"
"13","Trey McBride","ARZ","TE","17","2025","27.6","28.0","20.0","26.8","21.9","25.0","33.3","","25.8","28.9","19.3","20.0","22.5","20.5","32.5","25.8","35.1","25.0","25.4"
"14","Malik Nabers","NYG","WR","4","2025","29.7","31.7","15.6","14.3","","","","","","","","","","","","","","","24.4"
"15","Tyreek Hill","MIA","WR","4","2025","19.4","21.9","29.4","24.0","","","","","","","","","","","","","","","23.8"
"16","Davante Adams","LA","WR","14","2025","27.6","36.4","23.5","14.6","23.4","34.6","24.2","","21.9","22.2","25.0","22.9","17.9","19.4","21.1","","","","23.6"
"17","Tetairoa McMillan","CAR","WR","17","2025","22.9","16.4","33.3","22.2","26.7","20.0","15.6","41.7","30.0","32.0","22.2","27.6","10.0","","16.7","31.3","16.7","17.1","23.1"
"18","Nico Collins","HST","WR","15","2025","18.5","37.5","28.9","21.4","16.1","","20.4","","27.5","31.1","24.4","10.0","25.7","25.8","13.8","25.7","14.3","","23.1"
"19","Emeka Egbuka","TB","WR","17","2025","18.8","18.4","27.6","25.0","21.2","17.4","22.0","37.5","","30.2","32.1","23.5","28.6","33.3","20.6","7.7","11.4","13.6","22.8"
"20","DeVonta Smith","PHI","WR","17","2025","13.0","27.3","28.1","8.3","28.9","15.2","47.8","45.0","","26.9","17.9","28.2","23.5","17.5","11.1","26.7","18.5","10.0","22.7"
"21","Deebo Samuel","WAS","WR","16","2025","33.3","19.0","14.3","22.2","42.3","19.2","","20.0","27.3","22.7","26.7","","14.0","25.0","26.3","17.4","13.0","22.7","22.4"
"22","Rome Odunze","CHI","WR","12","2025","22.9","33.3","25.0","18.9","","17.2","23.1","26.3","8.1","27.8","18.8","25.7","16.7","","","","","","21.9"
"23","Brock Bowers","LV","TE","12","2025","23.5","16.3","17.2","28.6","","","","","33.3","7.4","28.6","18.2","17.4","15.6","32.0","21.7","","","21.7"
