game_id,teams,kickoff,stadium,home_team,away_team
2013_16_MIA_BUF,MIA@BUF,2013-12-22T13:00,Ralph Wilson Stadium,BUF,MIA
2013_16_NO_CAR,NO@CAR,2013-12-22T13:00,Bank of America Stadium,CAR,NO
2013_16_MIN_CIN,MIN@CIN,2013-12-22T13:00,Paul Brown Stadium,CIN,MIN
2013_16_DEN_HOU,DEN@HOU,2013-12-22T13:00,Reliant Stadium,HOU,DEN
2013_16_TEN_JAX,TEN@JAX,2013-12-22T13:00,EverBank Field,JAX,TEN
2013_16_IND_KC,IND@KC,2013-12-22T13:00,Arrowhead Stadium,KC,IND
2013_16_CLE_NYJ,CLE@NYJ,2013-12-22T13:00,MetLife Stadium,NYJ,CLE
2013_16_TB_STL,TB@STL,2013-12-22T13:00,Edward Jones Dome,STL,TB
2013_16_DAL_WAS,DAL@WAS,2013-12-22T13:00,FedExField,WAS,DAL
2013_16_NYG_DET,NYG@DET,2013-12-22T16:05,Ford Field,DET,NYG
2013_16_ARI_SEA,ARI@SEA,2013-12-22T16:05,CenturyLink Field,SEA,ARI
2013_16_NE_BAL,NE@BAL,2013-12-22T16:25,M&T Bank Stadium,BAL,NE
2013_16_PIT_GB,PIT@GB,2013-12-22T16:25,Lambeau Field,GB,PIT
2013_16_OAK_SD,OAK@SD,2013-12-22T16:25,Qualcomm Stadium,SD,OAK
2013_16_CHI_PHI,CHI@PHI,2013-12-22T20:30,Lincoln Financial Field,PHI,CHI
2013_16_ATL_SF,ATL@SF,2013-12-23T20:30,Candlestick Park,SF,ATL
