game_id,teams,home_score,away_score
2020_02_CIN_CLE,CIN@CLE,35,30
2020_02_NYG_CHI,NYG@CHI,17,13
2020_02_ATL_DAL,ATL@DAL,40,39
2020_02_DET_GB,DET@GB,42,21
2020_02_MIN_IND,MIN@IND,28,11
2020_02_BUF_MIA,BUF@MIA,28,31
2020_02_SF_NYJ,SF@NYJ,13,31
2020_02_LA_PHI,LA@PHI,19,37
2020_02_DEN_PIT,DEN@PIT,26,21
2020_02_CAR_TB,CAR@TB,31,17
2020_02_JAX_TEN,JAX@TEN,33,30
2020_02_WAS_ARI,WAS@ARI,30,15
2020_02_BAL_HOU,BAL@HOU,16,33
2020_02_KC_LAC,KC@LAC,20,23
2020_02_NE_SEA,NE@SEA,35,30
2020_02_NO_LV,NO@LV,34,24
