"Team Details","","","","","","","Passing","","","","","","Rushing","","","","Receiving","","","","","FPTS",""
"Rank","Name","POS","G","Season","Location","Team Name","DB","ATT","CMP","YDS","TD","RATE","ATT","YDS","YPC","TD","TGT","REC","YDS","YPT","TD","FP/G","FP"
"1","Cincinnati Bengals","RB","15","2025","Cincinnati","Bengals","2","2","2","7","2","120.8","360","1920","5.33","13","86","71","656","7.63","7","30.5","457.9"
"2","New York Giants","RB","15","2025","New York","Giants","0","0","0","0","0","","319","1825","5.72","13","84","71","480","5.71","4","26.9","403.5"
"3","Buffalo Bills","RB","15","2025","Buffalo","Bills","0","0","0","0","0","","324","1687","5.21","18","80","64","417","5.21","2","26.2","392.4"
"4","Arizona Cardinals","RB","15","2025","Arizona","Cardinals","0","0","0","0","0","","352","1691","4.80","14","77","64","494","6.42","4","25.9","388.5"
"5","New York Jets","RB","15","2025","New York","Jets","0","0","0","0","0","","360","1530","4.25","15","66","51","457","6.92","8","25.8","387.7"
"6","Washington Commanders","RB","15","2025","Washington","Commanders","0","0","0","0","0","","363","1699","4.68","14","63","51","492","7.81","4","25.4","381.1"
"7","Dallas Cowboys","RB","15","2025","Dallas","Cowboys","0","0","0","0","0","","304","1386","4.56","12","84","73","666","7.93","2","24.0","360.2"
"8","Miami Dolphins","RB","15","2025","Miami","Dolphins","0","0","0","0","0","","341","1588","4.66","8","81","73","561","6.93","3","23.5","352.9"
"9","Carolina Panthers","RB","15","2025","Carolina","Panthers","0","0","0","0","0","","324","1543","4.76","14","77","66","431","5.60","1","23.5","352.4"
"10","Tampa Bay Buccaneers","RB","15","2025","Tampa Bay","Buccaneers","0","0","0","0","0","","276","1181","4.28","10","79","71","795","10.06","4","23.4","350.6"
"11","Baltimore Ravens","RB","15","2025","Baltimore","Ravens","0","0","0","0","0","","306","1286","4.20","11","93","77","609","6.55","3","23.4","350.5"
"12","Philadelphia Eagles","RB","15","2025","Philadelphia","Eagles","0","0","0","0","0","","336","1444","4.30","12","71","54","553","7.79","4","23.2","348.7"
"13","Las Vegas Raiders","RB","15","2025","Las Vegas","Raiders","0","0","0","0","0","","368","1469","3.99","15","75","62","371","4.95","1","22.9","344.0"
"14","San Francisco 49ers","RB","15","2025","San Francisco","49ers","0","0","0","0","0","","302","1319","4.37","9","94","82","514","5.47","3","22.4","336.3"
"15","Tennessee Titans","RB","15","2025","Tennessee","Titans","0","0","0","0","0","","325","1401","4.31","15","68","52","437","6.43","2","22.4","335.8"
"16","Atlanta Falcons","RB","15","2025","Atlanta","Falcons","0","0","0","0","0","","337","1540","4.57","9","81","59","429","5.30","4","22.2","332.9"
"17","New Orleans Saints","RB","15","2025","New Orleans","Saints","0","0","0","0","0","","388","1606","4.14","11","57","49","374","6.56","3","22.1","331.0"
"18","Cleveland Browns","RB","15","2025","Cleveland","Browns","2","2","1","32","1","135.4","346","1434","4.14","12","75","58","404","5.39","2","21.9","328.1"
"19","Indianapolis Colts","RB","15","2025","Indianapolis","Colts","0","0","0","0","0","","320","1258","3.93","12","81","61","392","4.84","3","20.9","313.0"
"20","Minnesota Vikings","RB","15","2025","Minnesota","Vikings","0","0","0","0","0","","395","1597","4.04","12","61","48","275","4.51","0","20.3","305.2"
"21","Chicago Bears","RB","15","2025","Chicago","Bears","0","0","0","0","0","","312","1488","4.77","8","72","58","363","5.04","3","20.3","305.1"
"22","Pittsburgh Steelers","RB","15","2025","Pittsburgh","Steelers","0","0","0","0","0","","337","1453","4.31","5","84","71","512","6.10","2","20.3","304.5"
"23","Detroit Lions","RB","15","2025","Detroit","Lions","1","1","0","0","0","39.6","311","1384","4.45","11","69","55","385","5.58","1","20.1","301.9"
"24","Houston Texans","RB","15","2025","Houston","Texans","0","0","0","0","0","","295","1158","3.93","11","75","58","467","6.23","2","19.9","298.5"
"25","Green Bay Packers","RB","15","2025","Green Bay","Packers","1","1","0","0","0","39.6","337","1329","3.94","8","83","69","417","5.02","0","19.6","293.6"
"26","Seattle Seahawks","RB","15","2025","Seattle","Seahawks","0","0","0","0","0","","324","1136","3.51","5","107","82","559","5.22","2","19.4","291.5"
"27","Kansas City Chiefs","RB","15","2025","Kansas City","Chiefs","1","1","0","0","0","39.6","302","1237","4.10","8","66","57","427","6.47","3","19.3","289.4"
"28","New England Patriots","RB","15","2025","New England","Patriots","0","0","0","0","0","","287","1121","3.91","7","90","75","462","5.13","2","19.1","286.3"
"29","Los Angeles Chargers","RB","15","2025","Los Angeles","Chargers","0","0","0","0","0","","283","1266","4.47","12","70","52","340","4.86","0","19.0","285.6"
"30","Los Angeles Rams","RB","15","2025","Los Angeles","Rams","0","0","0","0","0","","311","1228","3.95","5","86","67","523","6.08","2","18.9","284.1"
"31","Jacksonville Jaguars","RB","15","2025","Jacksonville","Jaguars","0","0","0","0","0","","260","1015","3.90","7","82","65","510","6.22","3","18.4","275.5"
"32","Denver Broncos","RB","15","2025","Denver","Broncos","0","0","0","0","0","","285","1104","3.87","8","60","41","350","5.83","5","17.6","263.4"

"Rank","Rank, Most to Least"
"Name","Team"
"POS","Player Position"
"G","Games Played"
"DB","Dropbacks"
"ATT","Passing Attempts"
"CMP","Passing Completions"
"YDS","Passing Yards"
"TD","Passing Touchdowns"
"RATE","QB Passer Rating"
"ATT","Rushing Attempts"
"YDS","Rushing Yards"
"YPC","Rushing Yards per Carry"
"TD","Rushing Touchdowns"
"TGT","Targets"
"REC","Receptions"
"YDS","Receiving Yards"
"YPT","Yards per Target"
"TD","Receiving Touchdowns"
"FP/G","Fantasy Points per Game"
"FP","Fantasy Points"
